"Kubrat
"Batbayan
"Asparukh of Bulgaria
"Tervel of Bulgaria
"Kormesiy of Bulgaria
"Sevar of Bulgaria
"Kormisosh of Bulgaria
"Vinekh of Bulgaria
"Telets of Bulgaria
"Sabin of Bulgaria
"Umor of Bulgaria
"Toktu of Bulgaria
"Pagan of Bulgaria
"Telerig of Bulgaria
"Kardam of Bulgaria
"Krum of Bulgaria
"Omurtag of Bulgaria
"Malamir of Bulgaria
"Presian of Bulgaria
"Boris I Michael
"Simeon the Great
"Peter I of Bulgaria
"Boris II of Bulgaria
"Roman of Bulgaria
"Samuil of Bulgaria
"Gavril Radomir of Bulgaria
"Ivan Vladislav of Bulgaria
"Presian II of Bulgaria
"Peter (II) Delyan of Bulgaria
"Constantin Bodin (Peter (III))
"Ivan Asen I of Bulgaria
"Peter IV of Bulgaria
"Kaloyan of Bulgaria
"Boril of Bulgaria
"Ivan Asen II of Bulgaria
"Kaliman I of Bulgaria
"Michael Asen I of Bulgaria
"Kaliman II of Bulgaria
"Mitso Asen of Bulgaria
"Constantine Tikh of Bulgaria
"Michael Asen II of Bulgaria
"Ivaylo of Bulgaria
"Ivan Asen III of Bulgaria
"George I of Bulgaria
"Smilets of Bulgaria
"Chaka of Bulgaria
"Theodore Svetoslav of Bulgaria
"George II of Bulgaria
"Michael III Shishman of Bulgaria
"Ivan Stephen of Bulgaria
"Ivan Alexander of Bulgaria
"Ivan Shishman of Bulgaria
"Ivan Sratsimir of Bulgaria
"Constantine II of Bulgaria
"Alexander I of Bulgaria
"Ferdinand I of Bulgaria
"Boris III of Bulgaria
"Simeon II of Bulgaria
"Stephen C. Apostolof
"Christo Christov
"Slatan Dudow
"Georgi Djulgerov
"Tonislav Hristov
"Lyudmil Kirkov
"Nikola Korabov
"Nikola Kovachev
"Vulo Radev
"Petar B. Vasilev
"Binka Zhelyazkova
"Zahari Baharov
"George Baker
"Nikolay Binev
"Stefan Danailov
"Nina Dobrev
"Yana Marinova
"Itzhak Fintzi
"Georgi Georgiev
"Georgi Georgiev-Getz
"Kiril Gospodinov
"Stanislav Ianevski
"Gloria Ivanova
"Georgi Kaloyanchev
"Apostol Karamitev
"Nevena Kokanova
"Todor Kolev
"Victoria Koleva
"Marius Kurkinski
"Moni Moshonov (born 1951), Bulgarian-born Israeli actor and comedian
"Stoyanka Mutafova
"Lyubomir Neikov
"Georgi Partsalev
"Katya Paskaleva
"Bashar Rahal
"Hristo Shopov
"Naum Shopov
"Petar Slabakov
"Kosta Tsonev
"Grigor Vachkov
"Nina Dobrev
"Yana Marinova
"Nansi Karaboycheva
"Silvia Dimitrova
"Diliana Popova
"Asen Gavrilov
"Oggy Boytchev
"Nikolay Kolev - Michmana
"Elena Yoncheva
"Todor Kolev
"Niki Kunchev
"Milen Tsvetkov
"Aleksandra Sarchadjieva
"Slavi Trifonov
"Elisaveta Bagryana
"Petar Beron
"Ran Bosilek
"Assen Bossev
"Hristo Botev
"Elias Canetti
"Dobri Chintulov
"Chudomir
"Clement of Ohrid
"Constantine of Preslav
"Atanas Dalchev
"Dimcho Debelyanov
"Alexenia Dimitrova
"Dimitar Dimov
"Vasil Drumev
"Petya Dubarova
"John Exarch
"Dora Gabe
"Nikolai Haitov
"Paisiy Hilendarski
"Chernorizetz Hrabar
"Nikolai Hristozov
"Angel Karaliychev
"Lyuben Karavelov
"Stefan Kisyov
"Aleko Konstantinov
"Miladinov Brothers
"Marco Mincoff
"Grigor Parlichev
"Elin Pelin
"Ivailo Petrov
"Valeri Petrov
"Julian Popov
"Maria Popova
"Yordan Radichkov
"Radoy Ralin
"Kuzman Shapkarev
"Pencho Slaveykov
"Petko Slaveykov
"Hristo Smirnenski
"Emiliyan Stanev
"Zahari Stoyanov
"Anton Strashimirov
"Stanislav Stratiev
"Edvin Sugarev
"Dimitar Talev
"Tzvetan Todorov
"Stefan Tzanev
"Nikola Vaptsarov
"Ivan Vazov
"Pavel Vezhinov
"Vladislav the Grammarian
"Dobri Voinikov
"Sofronii Vrachanski
"Peyo Yavorov
"Nedyalko Yordanov
"Yordan Yovkov
"Nikola Atanasov
"Victor Chuchkov
"Alexandra Fol
"Marin Goleminov
"Michail Goleminov
"Dobri Hristov
"Nikolay Kaufman
"Nikolo Kotzev
"Petar Krumov
"John Kukuzelis
"Filip Kutev
"Kiril Lambov
"Milcho Leviev
"Emanuil Manolov
"Georgi Minchev
"Dimitar Nenov
"Ivo Papasov
"Albena Petrovic-Vratchanska
"Stefan Popov
"Anna-Maria Ravnopolska-Dean
"Petko Stainov
"Dobrinka Tabakova
"Ralitsa Tcholakova
"Georgi Tutev
"Stefan Valdobrev
"Pancho Vladigerov
"Alexis Weissenberg
"Andrea
"Angela Tosheva
"Boris Christoff
"Christina Morfova
"Desi Slava
"Elena Nicolai
"Emil Dimitrov
"Gena Dimitrova
"Georgi Minchev
"Gery-Nikol
"Gloria
"Ivanka Ninova
"Ivo Papasov
"Kiril Marichkov
"Kamen Tchanev
"Lili Ivanova
