"Ahmadou Babatoura Ahidjo
"Paul Biya
"Simon Achidi Achu
"Sadou Hayatou
"Ephraim Inoni
"Bello Bouba Maïgari
"Peter Mafany Musonge
"Philémon Yang
"Nzo Ekangaki
"William Eteki
"Bony Dashaco
"Rudolf Duala Manga Bell, King of Duala
"Ibrahim Njoya, Sultan of Bamoun
"Seidou Njimoluh Njoya, Sultan of the Bamum people
"Charles Assalé
"Emmanuel Endeley
"Henry Ndifor Abi Enonchong
"John Ngu Foncha
"André-Marie Mbida
"Salomon Tandeng Muna
"John Fru Ndi
"Henri Hogbe Nlend
"Zacharie Perevet
"Osende Afana
"Félix Moumié
"Marthe Ekemeyong Moumié
"Ruben Um Nyobé
"Ernest Ouandié
"Sahndra Fon Dufe
"Agbor Gilbert Ebot
"Eriq Ebouaney
"Adela Elad
"Syndy Emade
"Epule Jeffrey
"Enah Johnscot
"Onyama Laura
"Gladys Ndonyi
"Nkanya Nkwai
"Andy Allo
"Richard Bona
"Henri Dikongue
"Charlotte Dipanda
"Stanley Enow
"Ndedi Eyango
"Gasha
"Jovi
"Michael Kiessou
"Magasco
"Coco Mbassi
"Ibrahim Njoya
"Kristo Numpuby
"Anne Marie Nzie
"Petit Pays
"Reniss
"Yung Swiss
"Sam Fan Thomas
"Barthélémy Toguo
"Zangalewa
"BeBe Zahara Benet
"Benoît Assou-Ekotto
"Sébastien Bassong
"Samuel Eto'o
"Yvan Eyike
"Romuald Andela Midoukna
"Roger Milla
"Alex Song
"Rigobert Song
"Roman Oben
"Ndamukong Suh
"Alfred Aboya
"Lazare Adingono
"Joel Embiid
"Yves Mekongo Mbala
"Luc Mbah a Moute
"Victor Anomah Ngu
"Veye Tatah, computer scientist and activist
"Ben Duala Ekoko
"Lists of Cameroonian people
