"Ana Margarita Martínez-Casado, actress and singer
"Andy García, actor
"César Évora, actor
"Daisy Fuentes, actress
"Desi Arnaz, actor
"Emiliano Díez, actor
"Enrique Molina, actor
"Faizon Love, actor and comedian
"Francisco Gattorno, actor
"Julio Oscar Mechoso, actor
"Luis Oquendo, actor
"Luisa Martínez Casado (1860-1925), actress
"Manela Bustamante, actress
"María Conchita Alonso, actress
"Mario Cimarro, actor
"Mario Ernesto Sánchez, actor and founder of Teatro Avante
"Renny Arozarena, actor
"Steven Bauer, actor
"Velia Martínez, actress and singer
"William Levy, actor
"Raúl de Armas
"Max Borges Jr.
"Max Borges-del Junco
"Felicia Chateloin
"Leonardo Morales y Pedroso
"Ricardo Porro
"Nicolas Arroyo
"Agustín Cárdenas, sculptor
"Alberto Korda, photographer
"Alexandre Arrechea, painter, sculptor
"Amelia Peláez, painter
"Carlos Enríquez, painter
"Fidelio Ponce de León, painter
"Herman Puig (born German Puig Paredes), photographer
"Humberto Jesús Castro García, painter
"José Bernal, painter
"José Vilalta Saavedra, sculptor
"Josignacio Painter, creator of plastic paint medium, contemporary painter.
"Juan José Sicre, sculptor
"Juan T. Vázquez Martín, painter
"Luis Castaneda, photographer
"Mario Perez, painter
"Pedro Álvarez Castelló, painter
"Raúl Corrales, photographer
"Raúl Martínez, pop artist, painter
"Rene Mederos, poster artist and graphic designer
"René Portocarrero, painter
"Tomas Sanchez, painter
"Victor Manuel, painter
"Waldo Diaz-Balart, painter
"Wifredo Lam, painter
"Antonio Benitez-Rojo author
"Daína Chaviano, author
"Carilda Oliver Labra, poet
"Dulce María Loynaz, author
"Edmundo Desnoes, author
"Gertrudis Gómez de Avellaneda, author, poet
"Gilda Antonia Guillen, writer, poet, political activist
"Guillermo Cabrera Infante, author
"Heberto Padilla, poet
"Héctor Zumbado, writer, journalist, humorist, critic
"José Ignacio Rivero, author and journalist
"Antonio Rodríguez Salvador, poet, author
"José Lezama Lima, author, poet
"José María Heredia y Campuzano, poet
"José Martí, author, poet, journalist
"Julián del Casal, 19th-century poet
"Leonardo Padura Fuentes, novelist, journalist
"Mariano Brull, author
"Nancy Morejón, author
"José Gómez-Sicre, art critic and author
"Nicolás Guillén, poet
"Norberto Fuentes, author
"Pedro Juan Gutiérrez, author, poet, painter
"Pedro Luis Boitel, poet
"Raúl Rivero, poet and journalist
"Reinaldo Arenas, author
"Severo Sarduy, poet
"Virgilio Piñera, author, playwright, poet, short-story writer and essayist
"Zoé Valdés, author
"Alejandro García Caturla, symphonic composer
"Mariá Álvarez Rios, composer
"Antonio María Romeu, composer
"Arsenio Rodríguez developer of the rumba
"Didier Hernández, singer composer
"Ernesto Lecuona, often regarded as the greatest Cuban composer
"Esteban Salas y Castro, 18th century Cuban baroque composer
"Gonzalo Roig, often regarded as one of the greatest composers of Cuba, "Quiere me mucho"/ Cecilia Valdez
"Ignacio Cervantes, Chopinesque piano composer
"José White Lafitte, violinist and composer
"Leo Brouwer, guitarist and composer
"Yalil Guerra, composer
"Amadeo Roldán, composer and violinist
"Dámaso Pérez Prado, developer of the mambo
"Armando Rodriguez-Gonzalez, composer
"Antonio Rodríguez Ferrer, composer
"René Touzet, composer, bandleader and pianist
"Armando Rodriguez Ruidiaz, composer
"Flores Chaviano, guitarist and composer
"Danilo Avilés, composer
"Magaly Ruiz, composer
"José Ardévol, composer
"Harold Gramatges, composer
"Carlos Fariñas, composer
"Roberto Valera, composer
"Julián Orbón, composer
"Margarita Lecuona, singer and composer
"José Raúl Capablanca, chess world champion, grandmaster considered "the Mozart of Chess"
"Juan Corzo, chess
"Lázaro Bruzón, chess grandmaster
"Aida Diestro, pianist, arranger
"Albita, singer
"Alfredo de la Fé, musician
"Adalberto Álvarez, pianist, director, composer
"Ana Cristina, singer, actress, composer
"Ángel Reyes, violinist
"AJ McLean, singer, member of American boyband The Backstreet Boys
"Armando Peraza, percussionist
"Arturo Sandoval, trumpeter
"Arsenio Rodríguez, composer
"Benny Moré, singer, songwriter, conductor, arranger
"Bola de Nieve, singer, pianist
"Cándido Fabré, musician, songwriter, singer
"Carlos Manuel Pruneda, singer
"Carlos Varela, singer, songwriter
"Celia Cruz, singer
"Celina González, singer-songwriter
"Cesar "Pupy" Pedroso, pianist, musician
"Christina Milian, singer
"Chucho Valdés,  pianist, bandleader, composer, arranger.
"Compay Segundo, musician, songwriter
"Conchita Espinosa, pianist, teacher
"Cuban Link, rapper
"Cubanito 20.02, hip-hop band
"Dave Lombardo, drummer
"David Calzado, musician
"Didier Hernández, singer, songwriter
"Don Dinero, rapper
"Elena Burke, singer
"El Medico, timba musician
"Eliades Ochoa, guitarist and singer
"Emilio Estefan producer, composer
"Ernesto Lecuona, pianist, composer
"Esther Borja, singer
"Eusebio Delfín, singer
"Francisco Aguabella, percussionist
"German Nogueira Gomez, songwriter, composer, producer
"Gloria Estefan, singer, composer
"Gonzalo Rubalcaba, pianist
"Guillermo Portabales, singer, songwriter
"Guillermo Rubalcaba, musician
"Horacio Gutiérrez, concert pianist
"Hubert de Blanck, pianist, composer
"Ignacio Piñeiro, composer
"Ibrahim Ferrer, musician
"Issac Delgado, singer
"Jacobo Rubalcaba, musician
"Jorge Bolet, concert pianist
"Juan Croucier, bassist
"Juan Formell, composer
"Juan de Marcos González, musician
"La Lupe, singer
"Lena, singer
"Lissette, singer
"Malena Burke, singer
"Manuel Barrueco, classical guitarist
"María Teresa Vera, composer, guitarist, singer
"Mayra Verónica, singer
"Miguel Matamoros, singer, composer
"Moisés Valle, musician
"Moisés Simons, composer
"Mongo Santamaría, jazz musician
"Moraima Secada, singer
"Nelson Martinez, baritone
"Ñico Saquito, composer, singer
"Olga Guillot, singer
"Omara Portuondo, singer
"Orlando "Cachaito" López, bassist
"Pablo Milanés, singer, songwriter
"Pío Leyva, singer
"Pitbull, rapper
"Raul Paz, singer
"Rey Ruiz, singer
"Rita Montaner, singer
"Roberto Faz, singer, conductor
"Rubén González, pianist
"Rudy Sarzo, rock bassist
"Sen Dog, rapper
"Silvio Rodríguez, singer, songwriter
"Tico Torres, drummer, percussionist
"Willy Chirino, singer, songwriter
"Voltaire (musician), musician
"Xavier Cugat, musician
"Yalil Guerra, producer, musician, composer
"Yotuel Romero, rapper
"Harold Lopez Nussa, jazz pianist
"Fernando Pérez
"Humberto Padrón
"Jorge Luis Sánchez
"Juan Carlos Cremata
"Juan Padrón
"Miguel Coyula
"Rodrigo García
"Santiago Álvarez
"Tomás Gutiérrez Alea
"Calixto Martínez
"German Pinelli
"Héctor Zumbado, writer, journalist, humorist, and critic.
"Nicolás Guillén
"Oscar Espinosa Chepe
"Pablo de la Torriente Brau
"Raúl Rivero
"Rick Sanchez
"Alicia Alonso, Prima Ballerina Assoluta, director of the Cuban National Ballet (Ballet Nacional de Cuba)
"Carlos Acosta, dancer
"Sadaise Arencibia, star dancer with the Cuban National Ballet
"Fernando Bujones, dancer
"Jose Manuel Carreño, American Ballet Theatre principal dancer
"Lydia Diaz Cruz, prima ballerina
"Miguel Campaneria, ballet dancer, currently artistic director of the National Ballet Theater of Puerto Rico
"Vida Guerra, video dancer
"Yat-Sen Chang, principal dancer, English National Ballet
"Alvarez Guedes, comedian and author
"Ana María Polo, television personality and lawyer
"Cachita, television personality
"Cristina Saralegui, magazine editor, talk show host (Cristina) and actress
"Vida Guerra, model/actress
"Lili Estefan, television personality and former model
"Mauricio Zeilic, television personality
"Mayra Verónica, model
"Nelson Ascencio, comedian (Madtv)
"Pedro Zamora, AIDS activist, featured on The Real World: San Francisco
"Raúl De Molina, television personality
"Raúl Musibay, Food Network chef and author
"Rosaura Andreu, children's television entertainer
"Adeiny Hechavarria, Miami Marlins
"Adolfo Luque, Cincinnati Reds
"Alex Fernandez, Chicago White Sox, Florida Marlins
"Alex Sánchez
"Ariel Pestano, Cuba national baseball team
"Ariel Prieto, Oakland Athletics
"Aroldis Chapman, Cincinnati Reds
"Aurelio Monteagudo, Kansas City Athletics
"Barbaro Canizares, Atlanta Braves
"Bárbaro Garbey, Detroit Tigers
"Bert Campaneris, Kansas City Athletics
"Brayan Peña, Atlanta Braves
"Cristóbal Torriente, Negro Leagues – Baseball Hall of Fame
"Danys Báez, Baltimore Orioles
"Diego Seguí, Kansas City Athletics
"Eli Marrero, New York Mets
"Esteban Bellán, first Latin American professional baseball player to play in the United States
"Germán Mesa, trainer for the Cuban national baseball team
"Jack Calvo, Washington Senators
"Jorge Soler, Chicago Cubs
"José Abreu, Chicago White Sox
"José Canseco, Oakland Athletics
"José Cardenal, San Francisco Giants
"José Contreras, Chicago White Sox
"José Fernández, Miami Marlins
"José Iglesias, Detroit Tigers
"José Méndez, Kansas City Monarchs – Baseball Hall of Fame
"José Rodríguez, New York Giants
"José Tartabull, Kansas City Athletics
"Kendrys Morales, Kansas City Royals
"Liván Hernández, Arizona Diamondbacks
"Luis Tiant, Cleveland Indians
"Martín Dihigo, Negro Leagues – Baseball Hall of Fame
"Mike Cuellar, Cincinnati Reds
"Minnie Miñoso, Chicago White Sox
"Octavio "Cookie" Rojas, Cincinnati Reds
"Omar Linares, Pinar del Río Vegueros, Cuban national baseball team
"Orestes Destrade, New York Yankees, ESPN on-air personality
"Orlando Hernández, New York Mets
"Ozzie Canseco, Oakland Athletics
"Pedro Ramos, Washington Senators
"Preston Gómez, Washington Senators
"Rafael Palmeiro, Baltimore Orioles
"Ray Noble, New York Giants
"René Arocha, St. Louis Cardinals
"René Monteagudo, Washington Senators
"Rey Ordóñez, New York Mets
"Roberto "Bobby" Estalella, Washington Senators
"Rolando Arrojo, Tampa Bay Devil Rays
"Sandy Amorós, Brooklyn Dodgers
"Tony Fossas, Texas Rangers
"Tony González, Cincinnati Reds
"Tony Oliva, Minnesota Twins
"Tony Pérez, Cincinnati Reds
"Tony Taylor, Chicago Cubs
"Yuniesky Betancourt, last played for the Milwaukee Brewers
"Yasiel Puig, Los Angeles Dodgers
"Yasmani Grandal, Los Angeles Dodgers
"Yoenis Céspedes, New York Mets
"Zoilo Versalles, Minnesota Twins, first Latin American Major League MVP in 1965.
"Alexei Ramírez, Chicago White Sox
"Yunel Escobar, Washington Nationals
"Adolfo Horta, Featherweight Olympic boxer
"Ariel Hernández, Middleweight Olympic boxer
"Armando Martínez, light middle-weight olympic boxer
"Benny Paret, boxer
"Eliseo Castillo, boxer
"Félix Savón, olympic boxer
"Florentino Fernández, boxer
"Guillermo Rigondeaux Ortiz, amateur boxer
"Joel Casamayor, boxer
"Jorge Rubio, boxing trainer
"José Nápoles, boxer
"Kid Charol, boxer
"Kid Chocolate, boxer
"Kid Gavilán, boxer
"Lorenzo Aragon Armenteros olympic welterweight boxer
"Luis Manuel Rodríguez, boxer
"Mario César Kindelán Mesa, Olympic gold medal winning boxer
"Raúl González, boxer
"Roberto Balado, Olympic Super Heavyweight boxer
"Sugar Ramos, world champion boxer
"Teófilo Stevenson, amateur boxer
"Yan Bartelemí Light Flyweight gold medal winning boxer
"Yanqui Díaz, boxer
"Yudel Johnson Cedeno Light-Welterweight Olympic Boxer
"Yuriorkis Gamboa Flyweight olympic gold medal winning boxer
"Alberto Juantorena, track
"Aliecer Urrutia, triple jump
"Ana Fidelia Quirot 800m
"Anier García, hurdler
"Dayron Robles, hurdling athlete
"Emeterio González, javelin thrower.
"Héctor Herrera, sprinter
"Ioamnet Quintero, high jumper
"Iván García, sprinter
"Iván Pedroso, long jump
"Javier Sotomayor, track and field record setter
"Joel Isasi, sprinter
"Joel Lamela, sprinter
"Jorge Aguilera, sprinter
"Lázaro Martínez, sprinter
"Luis Alberto Pérez-Rionda, sprinter
"Osleidys Menéndez, javelin
"Roberto Hernández (athlete)
"Roberto Moya, discus throw
"Víctor Moya, high jumper
"Yargelis Savigne, jump
"Yipsi Moreno, hammer thrower
"Yoandri Betanzos, triple jump
"Yoel García, triple jumper
"Yoel Hernández hurdler
"Yudelkis Fernández long jumper.
"Yunaika Crawford, hammer thrower
"Yuniel Hernández, hurdler
"Joel Armas, record holder in the US in monofin swimming
