"Adel Adham
"Adel Emam
"Ahmad Zaky
"Ahmed Ezz
"Ahmed Helmy
"Ahmed Ramzy
"Amr Waked
"Anwar Wagdy
"Emad Hamdy
"Fareed Shawky
"George Sidhom
"Hassan Youssef
"Hussein Fahmy
"Ismail Yaseen
"Kamal Al-Shennawi
"Khalid Abdulla
"Mostafa Qamar
"Nour El-Sherif
"Omar Sharif
"Rami Malek
"Rushdy Abaza
"Saeed Saleh
"Shoukry Sarhan
"Stephan Rosti
"Amina Rizq
"Assia Dagher
"Bushra
"Faten Hamama
"Gehan Rateb
"Hanan Tork
"Hend Rostom
"Laila Elwi
"Lebleba
"Leila Mourad
"Lobna Abdel Aziz
"Mariam Fakhr Eddine
"Mary Queeny
"Mona Zaki
"Nermin Al-Fiqy
"Samira Ahmed
"Shadia
"Sherihan
"Shwikar
"Soad Hosni
"Ehsan Hatem
"Fawzia Mohamed
"Fifi Abdou
"Mahmoud Reda
"Nagua Fouad
"Nelly Mazloum
"Samia Gamal
"Tahiya Karioka
"Zeinat Olwi
"sofinar
"Ahmed El-Nahass
"André Hakim
"Asaad Kelada
"Ash Atalla
"Assia Dagher
"Atef AlTayyeb
"Daoud Abdel Sayed
"Ezzel Dine Zulficar
"Fadwa El Guindi
"Frank Agrama
"Hassan Al Imam
"Helmy Halim
"Henry Barakat
"Hussein Kamal
"Ibrahim El Batout
"Jehane Noujaim
"Kamla Abou Zekry
"Khairy Beshara
"Khaled Youssef
"Maher Sabry
"Mary Queeny
"Mohamed Khan
"Mohammed Karim
"Mohamed Said Mahfouz
"Nasr Mahrous
"Raymond Hakim
"Robert Hakim
"Salah Abu Seif
"Sam Esmail
"Tamer El Said
"Tamer Shaaban
"Tarek El-Telmissany
"Yousry Nasrallah
"Youssef Chahine
"Abdel Moneim Madbouly
"Abo El Seoud El Ebiary
"Alfred Farag
"Naguib Al Rehani
"Tawfiq al-Hakeem
"Iris Nazmy
"Samir Farid
"Tarek El Shennawi
"Ahmed El Esseily
"Akmal Saleh
"Ali Faik Zaghloul
"Amr Ellissy
"Bob Francis (radio)
"Hamdi Qandil
"Hamed Gohar
"Lamis Elhadidy
"Mahmoud Saad
"Mofeed Fawzy
"Mona El-Saghir
"Mona El-Shazly
"Moutaz Al-Demirdash
"Nagui
"Osama Mounir
"Tamer Amin
"Abdu al-Hamuli
"Abu Bakr Khayrat
"Ammar El Sherei
"Amr Diab
"Aziz El-Shawan
"Baligh Hamdi
"Dawood Hussnei
"Gamal Abdel-Rahim
"Halim El-Dabh
"Hasan Rashid
"Kamal Al Taweel
"Kamel al-Khola'ie
"Mohamed Abdelwahab Abdelfattah
"Mohamed El Qasabgi
"Mohamed Fawzi
"Mohammed Abdel Wahab
"Mounir Mourad
"Moustafa Amar
"Omar Khairat
"Rageh Daoud
"Ramzi Yassa
"Riad Al Sunbati
"Rifaat Garrana
"Saleh Abdel Hai
"Sayed Darwish
"Sayed Mekawy
"Sheikh Imam
"Soliman Gamil
"Tarek Ali Hassan
"Tarek Madkour
"Yusef Greiss
"Zakaria Ahmed
"Ratiba El-Hefny
"Nabila Erian
"Selim Sahab
"Sherif Mohie El Din
"Youssef Elsisi
"Abo El Seoud El Ebiary
"Abdel Rahman el-Abnudi
"Abdel latif Moubarak
"Abdel Halim Hafez
"Ahmed Adaweyah
"Amal Maher
"Amr Diab
"Angham
"Dalida
"Demis Roussos
"Ehab Tawfik
"Farid al-Atrash
"Fayza Ahmed
"Gehan Rateb
"Hakim
"Hamada Helal
"Hani Shaker
"Kamal Hosni
"Kareem Salama
"Karem Mahmoud
"Laila Mourad
"Mohamed Abdel Wahab
"Mohamed Hamaki
"Mohamed Mounir
"Mohammad Fouad
"Mounira El Mahdeya
"Moustafa Amar
"Rami Sabry
"Ruby
"Shaaban Abdel Rahim
"Shadia
"Sherine Wagdy
"Sherine
"Tamer Hosny
"Tony Kaldas
"Umm Kulthum
"Hani Azer
"Hassan Fathy
"Michel Bakhoum
"Naoum Shebib
"Ramses Wissa Wassef
"Ahmad Nady
"Ahmed Ragab
"Ahmed Toughan
"Alexander Sarukhan
"George Bahgoury
"Gomaa
"Hussein Bikar
"Mustafa Hussein
"Salah Jahin
"Tarek Shahin
"Abdel Hadi Al Gazzar
"Adel Nassief
"Adham Wanly
"Chafik Charobim
"Evelyn Ashamallah
"Farouk Hosny
"Fathi Hassan
"Gazbia Sirry
"George Bahgoury
"Georges Hanna Sabbagh
"Ghada Amer
"Hassan Mohamed Hassan
"Hussein Bikar
"Hussein El Gebaly
"Injy Aflatoun
"Isaac Fanous
"Kamal Amin
"Mahmoud Mokhtar
"Margaret Nakhla
"Salah Taher
"Diane Tuckman
"Seif Wanly
"Adam Henein
"Hassan Heshmat
"Mahmoud Mokhtar
"Abdel Hakim Qasem
"Abo El Seoud El Ebiary
"Ahdaf Soueif
"Ahmed Lutfi el-Sayed
"Alaa Al Aswany
"Alfred Farag
"Bahaa Taher
"Edmond Jabès
"Edwar al-Kharrat
"Ezzat el Kamhawi
"Fekry Pasha Abaza
"Gamal Al-Ghitani
"Gilbert Sinoué
"Iris Habib Elmasry
"Louis Awad
"Mohammad Moustafa Haddara
"Mostafa Mahmoud
"Muhammad Aladdin
"Muhammad Husayn Haykal
"Muhammad Sa'id al-'Ashmawi
"Nabil Farouk
"Naguib Mahfouz
"Nawal El Saadawi
"Salama Moussa
"Sonallah Ibrahim
"Tawfiq al-Hakeem
"Yehia Hakki
"Yusuf Idris
"Zaki Naguib Mahmoud
"Mo Gawdat
"Abd al-Rahman al-Jabarti
"Abd al-Rahman al-Rafai
"Al-Maqrizi
"Al-Mufaddal
"Al-Sakhawi
"Gawdat Gabra
"George Antonius
"George Elmacin
"Ibn Abd-el-Hakem
"Imam Al-Suyuti
"Iris Habib Elmasry
"John of Nikiû
"Manetho
"Menassa Youhanna
"Raouf Abbas
"Rifa'a el-Tahtawi
"Severus Ibn al-Muqaffa
"Abdel Rahman el-Abnudi
"Abdel latif Moubarak
"Abdul Rahman Yusuf
"Ahmed Abdel Muti Hijazi
"Ahmed Fouad Negm
"Ahmed Rami
"Ahmed Shawqi
"Ahmed Zaki Abu Shadi
"Hafez Ibrahim
"Ibrahim Nagi
"Iman Mersal
"Mahmoud Sami al-Baroudi
"Mahmud Bayram el-Tunsi
"Mohammad Ibrahim Abu Senna
"Salah Jahin
"Gaston Zananiri
"Abbass AlAqqad
"Abdel Wahab el-Miseiri
"Abo El Seoud El Ebiary
"Adel Darwish
"Adel Iskandar
"Ahmed Mourad
"Ayman Zohry
"Edwar al-Kharrat
"Farag Foda
"Fekry Pasha Abaza
"Gamal al-Banna
"Hasan Hanafi
