"Chandra, Rajesh, Vice-Chancellor of the University of Fiji
"Lal, Brij, historian
"Narayan, Paresh, Fiji-born Australian academic
"Pillay, Sarojini, Registrar of the University of Fiji
"Rudrananda, Swami, founder of the Then India Sanmarga Ikya Sangam
"Siwatibau, Savenaca, academic leader; Vice-Chancellor of the University of the South Pacific (1940&#8211;2003)
"Ali, Shamima, political activist and women's rights campaigner
"Bhagwan-Rolls, Sharon, political activist and women's rights campaigner
"Heffernan, Angie, political activist
"Luveni, Jiko, dentist and AIDS campaigner; Speaker of the Parliament of Fiji since 2014
"Singh, Anirudh, opposed the imposition of the 1990 Constitution
"Siwatibau, Suliana, political activist
"Iqbal, Imraz, political activist, businessman, former journalist
"Khan, Ballu, business tycoon
"Nagindas, Shivlal, Labasa businessman and former Senator
"Nawalowalo, Ratu Josateki, businessman and Chairman of the Kadavu Provincial Council
"Niranjan, Sangeeta, businesswoman
"Punja, Hari (born 1937), business tycoon
"Samisoni, Adi Mere, businesswoman and Member of Parliament
"Seeto, Dixon, business tycoon and President of the Chinese Association of Fiji
"Singh, Rajnesh, businessman and technologist
"Singh, Ram, India-born businessman
"Toganivalu, Davila, businesswoman and newspaper publisher
"Waradi, Taito, President of the Fiji Chamber of Commerce and Industry
"Bolobolo, Ratu Meli, Tui Navitilevu, a High Chief of Ra Province
"Cakobau, Ratu Epenisa, Bauan chief
"Kanakana, Ratu Epeli, Fijian chief (Tui Suva)
"Katonivere, Ratu Aisea, Tui Macuata (paramount chief of Macuata)
"Kadavulevu, Ratu Penaia, Vunivalu of Bau (1901&#8211;1914)
"Madraiwiwi, Ratu Joni (the First), chief (1859&#8211;1920)
"Nailatikau, Ratu Epeli (the First) (1842&#8211;1901), Vunivalu of Bau
"Niumataiwalu, founder of the Vuanirewa dynasty in the Lau Islands
"Rasolo, first Tui Nayau
"Rokocegu, Maculeku, Tui Dreketi
"Rokomatu, Adi Joana, Tui Sigatoka
"Sovasova, Ratu Jovesa, Tui Vitogo (1942&#8211;2005)
"Tupou, Ratu Taliai, Tui Nayau (d. 1875)
"Tarau of Tovu Totoya, Fijian chieftainess
"Udre Udre, Ratu, 19th century cannibal
"Ulugalala, Alifereti Finau, Tui Nayau (d. 1934)
"Visawaqa, Ratu Tanoa, Vunivalu of Bau (1800s)
"Uluilakeba I, successor to Rasolo (q.v.) as Tui Nayau, but not so installed
"Acraman, Rodney, former Ombudsman and Chairman of the Fiji Human Rights Commission
"Bainimarama, Meli, CEO of Fijian Affairs Board (December 2006-January 2007; subsequently reemployed as an advisor to the board)
"Browne, Joseph
"Hatch, Hector, former Chairman of the Public Service Commission
"Huggett, Stuart, former Chairman of the Public Service Commission
"Jale, Anare, Chief Executive Officer of the Public Service Commission; former Ambassador to the United States
"Korovavala, Lesi, Chief Executive Officer of the Home Affairs Ministry
"Kotobalavu, Joji, Chief Executive Officer of the Prime Minister's Department
"Naupoto, Viliame, former Navy Commander; former Director of Immigration from January 2007; now the current Minister for Youth and Sports
"Qionibaravi, Adi Litia, Chief Executive Officer of the Fijian Affairs Board
"Ram, Rishi, Chairman of the Public Service Commission and former Ambassador to Japan
"Ridgeway, Peter, former Deputy Director of Prosecutions
"Shameem, Shaista, director of the Fiji Human Rights Commission
"Tuisolia, Ratu Sakiusa, former Chief Executive Officer of Airports Fiji Limited
"Vakalalabure, Ratu Rakuita, Deputy Speaker of the House, member of House of Representatives of Fiji
"Vakalalabure, Ratu Tevita, Senator, President of the Senate, member of the Great Council of Chiefs, member of House of Representatives, Vunivalu of Natewa
"Derek Boyer, "The Island Warrior", actor
"Mike Howlett, musician
"Cassius Khan, classical tabla and ghazal player now based in Vancouver, British Columbia, Canada
"Malumu ni Tobu kei Naivaukura, musician
"Lagani Rabukawaqa, musician
