"William Emmanuel Abraham","List_of_Ghanaians"
"Kwasi Kwarfo Adarkwa","List_of_Ghanaians"
"James Emman Kwegyir Aggrey","List_of_Ghanaians"
"Francis Allotey","List_of_Ghanaians"
"Fred McBagonluri","List_of_Ghanaians"
"Joseph Amenowode","List_of_Ghanaians"
"Kwame Anthony Appiah","List_of_Ghanaians"
"George Ayittey","List_of_Ghanaians"
"Nicholas T. Clerk","List_of_Ghanaians"
"George C. Clerk","List_of_Ghanaians"
"Philip Gbeho","List_of_Ghanaians"
"Paa Grant","List_of_Ghanaians"
"Joseph Henry Mensah","List_of_Ghanaians"
"J. H. Kwabena Nketia","List_of_Ghanaians"
"Lawrence Henry Yaw Ofosu-Appiah","List_of_Ghanaians"
"Jane Naana Opoku-Agyemang","List_of_Ghanaians"
"Kwame Akoto-Bamfo","List_of_Ghanaians"
"Eric Adjetey Anang","List_of_Ghanaians"
"Ben Agbee","List_of_Ghanaians"
"El Anatsui","List_of_Ghanaians"
"Nana Oforiatta Ayim","List_of_Ghanaians"
"James Cudjoe","List_of_Ghanaians"
"Godfried Donkor","List_of_Ghanaians"
"Kimathi Donkor","List_of_Ghanaians"
"Ablade Glover","List_of_Ghanaians"
"Theodosia Okoh","List_of_Ghanaians"
"Owusu-Ankomah","List_of_Ghanaians"
"Rikki Wemega-Kwawu","List_of_Ghanaians"
"Lynette Yiadom-Boakye","List_of_Ghanaians"
"Bright Tetteh Ackwerh","List_of_Ghanaians"
"David Adjaye","List_of_Ghanaians"
"Theodore S. Clerk","List_of_Ghanaians"
"Elsie Owusu","List_of_Ghanaians"
"Harry Sawyerr","List_of_Ghanaians"
"Virgil Abloh","List_of_Ghanaians"
"Hilda Akua","List_of_Ghanaians"
"Kofi Ansah","List_of_Ghanaians"
"Ozwald Boateng","List_of_Ghanaians"
"Joe Casely-Hayford","List_of_Ghanaians"
"Edward Enninful","List_of_Ghanaians"
"Samata","List_of_Ghanaians"
"Sam Sarpong","List_of_Ghanaians"
"Adwoa Aboah","List_of_Ghanaians"
"Philip Kwame Apagya","List_of_Ghanaians"
"James Barnor","List_of_Ghanaians"
"Prince Gyasi","List_of_Ghanaians"
"Obo Addy","List_of_Ghanaians"
"Awal Alhassan","List_of_Ghanaians"
"Adam Afriyie","List_of_Ghanaians"
"Roland Agambire","List_of_Ghanaians"
"Prince Kofi Amoabeng","List_of_Ghanaians"
"K. Y. Amoako","List_of_Ghanaians"
"Joyce Aryee","List_of_Ghanaians"
"Thomas Edward Barter","List_of_Ghanaians"
"Lord Paul Boateng","List_of_Ghanaians"
"Sam E Jonah","List_of_Ghanaians"
"J. K. Siaw","List_of_Ghanaians"
"Gottlieb A. Adom","List_of_Ghanaians"
"James Emman Kwegyir Aggrey","List_of_Ghanaians"
"Kofi Annan","List_of_Ghanaians"
"Ernest Aryeetey","List_of_Ghanaians"
"Edward S. Ayensu","List_of_Ghanaians"
"George Ayittey","List_of_Ghanaians"
"Kwesi Botchwey","List_of_Ghanaians"
"Beattie Casely-Hayford","List_of_Ghanaians"
"Gus Casely-Hayford","List_of_Ghanaians"
"Alexander Worthy Clerk","List_of_Ghanaians"
"Carl Henry Clerk","List_of_Ghanaians"
"Jane E. Clerk","List_of_Ghanaians"
"John Atta Mills","List_of_Ghanaians"
"Patrick Awuah","List_of_Ghanaians"
"Stephen Adei","List_of_Ghanaians"
"Samuel Azu Crabbe ","List_of_Ghanaians"
"Mabel Agyemang","List_of_Ghanaians"
"Daniel Francis Annan","List_of_Ghanaians"
"Joyce Bamford-Addo","List_of_Ghanaians"
"Vincent Cyril Richard Arthur Charles Crabbe","List_of_Ghanaians"
"Emmanuel Charles Quist","List_of_Ghanaians"
"Georgina Theodora Wood","List_of_Ghanaians"
"Jones Victor Mawulorm Dotse","List_of_Ghanaians"
"K. B. Asante","List_of_Ghanaians"
"Paul Boateng","List_of_Ghanaians"
"Mohammed Ibn Chambas","List_of_Ghanaians"
"Pauline M. Clerk","List_of_Ghanaians"
"Akua Kuenyehia","List_of_Ghanaians"
"Amon Nikoi","List_of_Ghanaians"
"Nathan Quao","List_of_Ghanaians"
"Genevive Delali Tsegah","List_of_Ghanaians"
"Freema Agyeman","List_of_Ghanaians"
"John Akomfrah","List_of_Ghanaians"
"Amma Asante","List_of_Ghanaians"
"Jackie Aygemang","List_of_Ghanaians"
"Yaba Badoe","List_of_Ghanaians"
"Akosua Busia","List_of_Ghanaians"
"Paul Danquah","List_of_Ghanaians"
"Idris Elba","List_of_Ghanaians"
"Boris Kodjoe","List_of_Ghanaians"
"Nii Odartei Evans","List_of_Ghanaians"
"Peter Mensah","List_of_Ghanaians"
"Majid Michel","List_of_Ghanaians"
"Hugh Quarshie","List_of_Ghanaians"
"Van Vicker","List_of_Ghanaians"
"Chris Attoh","List_of_Ghanaians"
"Michael Dapaah","List_of_Ghanaians"
"Kofi Adu","List_of_Ghanaians"
"Michael Blackson","List_of_Ghanaians"
"Roger A. Agana","List_of_Ghanaians"
"David Ampofo","List_of_Ghanaians"
"Attractive Mustapha","List_of_Ghanaians"
"Akua Dansua","List_of_Ghanaians"
"Ameyaw Debrah","List_of_Ghanaians"
"Komla Dumor","List_of_Ghanaians"
"Cameron Duodu","List_of_Ghanaians"
"Ekow Eshun","List_of_Ghanaians"
"Afua Hirsch","List_of_Ghanaians"
"Asare Konadu","List_of_Ghanaians"
"Gamal Nkrumah","List_of_Ghanaians"
"Samia Nkrumah","List_of_Ghanaians"
"Kwaku Sakyi-Addo","List_of_Ghanaians"
"Nathaniel Attoh","List_of_Ghanaians"
"Isaac Kaledzi","List_of_Ghanaians"
"Kent Mensah","List_of_Ghanaians"
"Robert Nii Arday Clegg","List_of_Ghanaians"
"Pearl Akanya Ofori","List_of_Ghanaians"
"Akwasi Afrifa","List_of_Ghanaians"
"Joseph Arthur Ankrah","List_of_Ghanaians"
"Emmanuel Kwasi Kotoka","List_of_Ghanaians"
"David Anumle Hansen","List_of_Ghanaians"
"Jerry Rawlings","List_of_Ghanaians"
"Kwame Addo-Kufuor","List_of_Ghanaians"
"Raphael Armattoe","List_of_Ghanaians"
"E. A. Badoe","List_of_Ghanaians"
"John Bilson","List_of_Ghanaians"
"Kofi Boahene","List_of_Ghanaians"
"Peter Bossman","List_of_Ghanaians"
"Alexander Adu Clerk","List_of_Ghanaians"
"Matilda J. Clerk","List_of_Ghanaians"
"Charles Odamtten Easmon","List_of_Ghanaians"
"Kwabena Frimpong-Boateng","List_of_Ghanaians"
"Ernest James Hayford","List_of_Ghanaians"
"Susan Gyankorama De-Graft Johnson","List_of_Ghanaians"
"Emmanuel A. Kissi","List_of_Ghanaians"
"Jacob Kwakye-Maafo","List_of_Ghanaians"
"Edward Mahama","List_of_Ghanaians"
"Frederick Nanka-Bruce","List_of_Ghanaians"
"David Ofori-Adjei","List_of_Ghanaians"
"Susan Ofori-Atta","List_of_Ghanaians"
"Benjamin Quartey-Papafio","List_of_Ghanaians"
"Bernard Ribeiro Baron Ribeiro","List_of_Ghanaians"
"Akwasi Afrifa","List_of_Ghanaians"
"Adam Afriyie","List_of_Ghanaians"
"Ebenezer Ako-Adjei","List_of_Ghanaians"
"Edward Akufo-Addo","List_of_Ghanaians"
"Nana Akufo-Addo","List_of_Ghanaians"
"Reginald Reynolds Amponsah","List_of_Ghanaians"
"Joseph Arthur Ankrah","List_of_Ghanaians"
"Kofi Annan","List_of_Ghanaians"
"William Ofori Atta","List_of_Ghanaians"
"Prosper Douglas Bani","List_of_Ghanaians"
"Albert Adu Boahen","List_of_Ghanaians"
"Lord Paul Boateng","List_of_Ghanaians"
"Peter Bossman","List_of_Ghanaians"
