"Princes Ariana Austin Makonnen
"Godfrey Cambridge
"Shirley Chisholm
"Darren Collison
"Rafael Cameron
"Kevin Darlington
"Oscar Dathorne
"Rhona Fox
"Mel King
"Dawnn Lewis
"Derek Luke (Guyanese father)
"Steve Massiah
"Nicole Narain
"C. C. H. Pounder
"Thara Prashad
"Rihanna (Guyanese mother)
"Arman Shields
"Alana Shipp
"Mark Teixeira
"Sean Patrick Thomas
"Flora Cheong-Leen&#91;6&#93;
"Yaani King
"Dawnn Lewis
"Derek Luke
"Nicole Narain (model and actress)
"C. C. H. Pounder
"Sean Patrick Thomas
"Ivan van Sertima
"Shirley Chisholm
"Cheddi Jagan
"Maritza Correia&#91;7&#93; – Olympic swimmer.
"Laura Creavalle&#91;8&#93; – Guyanese-born Canadian/American professional bodybuilder
"Ezekiel Jackson&#91;9&#93; – WWE professional wrestler and bodybuilder.
"Mark Teixeira&#91;10&#93; – Major League baseball player, New York Yankees.
"Darren Collison – NBA player son of two world class Guyanese athletes.
"Antiguan and Barbudan
"Bahamian
"Barbadian
"Belizean
"Garifuna
"Bermudian
"Dominican (Dominica)
"Grenadian
"Jamaican
"Kittian and Nevisian
"Saint Lucian
"Trinidadian and Tobagonian
"Vincentian
"Puerto Rican
"Virgin Islands
"Haitian
"Guadeloupean
"Martiniquan
"Cuban
"Dominican (Dominican Republic)
"Panamanian
"Puerto Rican
"Dutch West Indians (Aruban)
"Surinamese
"Indo-Caribbean Americans
"Affluence
"Educational attainment
"Emigration
"Home-ownership
"Household income
"Immigration
"Income inequality
"Language
"LGBT
"Middle classes
"Personal income
"Poverty
"Social class
"Unemployment by state
"Wealth
"Baha'is
"Buddhists
"Christians
"Catholics
"Coptics
"Mormons
"Protestants
"Hindus
"Jains
"Jews
"Muslims
"Ahmadiyyas
"Five Percenters
"Moorish Scientists
"Nation of Islam
"Value Creators
"Neopagans
"Non-religious
"Rastafaris
"Scientologists
"Sikhs
"Zoroastrians
"African Americans
"African diaspora in the Americas
"Afro-Caribbean / West Indian Americans
"Bahamian Americans
"Belizean Americans
"Haitian Americans
"Jamaican Americans
"Trinidadian and Tobagonian Americans
"Black Hispanic and Latino Americans
"African immigrants to the United States
"Central Africans in the United States
"Horn Africans in the United States
"Southeast Africans in the United States
"Southern Africans in the United States
"West Africans in the United States
"North Africans in the United States
"Algerian Americans
"Berber Americans
"Egyptian Americans
"Moroccan Americans
"Asian Americans
"Asian Hispanic and Latino Americans
"Mongolian Americans
"Uzbek Americans
"Chinese Americans
"Hong Kong Americans
"Tibetan Americans
"Taiwanese Americans
"Japanese Americans
"Korean Americans
"Bangladeshi Americans
"Bhutanese Americans
"Indian Americans
"Nepalese Americans
"Pakistani Americans
"Sri Lankan Americans
"Burmese Americans
"Cambodian Americans
"Filipino Americans
"Hmong Americans
"Indonesian Americans
"Laotian Americans
"Malaysian Americans
"Singaporean Americans
"Thai Americans
"Vietnamese Americans
"Romani Americans
"West Asia
"Afghan Americans
"Arab Americans
"Armenian Americans
"Assyrian Americans
"Azerbaijani Americans
"Chaldean Americans
"Emirati Americans
"Georgian Americans
"Iranian Americans
"Iraqi Americans
"Israeli Americans
"Jewish Americans
"Jordanian Americans
"Kazakh Americans
"Kurdish Americans
"Kuwaiti Americans
"Kyrgyz Americans
"Lebanese Americans
"Palestinian Americans
"Saudi Arabian Americans
"Syrian Americans
"Turkish Americans
"Yemeni Americans
"White Americans
"Albanian Americans
"British Americans
"English Americans
"Scottish Americans
"Welsh Americans
"Cypriot Americans
"French Americans
"German Americans
"Greek Americans
"Irish Americans
"Italian Americans
"Maltese Americans
"Polish Americans
"Portuguese Americans
"Romanian Americans
"Scandinavian Americans
"Slavic Americans
"Spanish Americans
"Non-Hispanic whites
"White Hispanic and Latino Americans
"Pacific Islands Americans
"Chamorro Americans
"Native Hawaiians
"Samoan Americans
"Tongan Americans
"Australian Americans
"New Zealand Americans
"Native Americans and Alaska Natives
"Belizean Americans
"Canadian Americans
"Hispanic and Latino Americans
"Costa Rican Americans
"Guatemalan Americans
"Honduran Americans
"Nicaraguan Americans
"Panamanian Americans
"Salvadoran Americans
"Cuban Americans
"Dominican Americans
"Mexican Americans
"Chicanos
"Puerto Ricans (Stateside)
"Argentine Americans
"Bolivian Americans
"Chilean Americans
"Colombian Americans
"Ecuadorian Americans
"Paraguayan Americans
"Peruvian Americans
"Uruguayan Americans
"Venezuelan Americans
"Brazilian Americans
"Amerasian
"Melungeon
"People of the United States / Americans
"American ancestry
"Maps of American ancestries
"2010 Census
"Race and ethnicity in the Census
"Race and ethnicity in the Equal Employment Opportunity Commission
"Racism
"Ethnic groups in the United StatesAmerican people of Guyanese descentGuyanese AmericanHidden categories: Pages using deprecated image syntax&quot;Related ethnic groups&quot; needing confirmationArticles using infobox ethnic group with image parameters
