"Carl Abrahams, painter
"Opal Palmer Adisa, writer
"Esther Anderson, actress, photographer, filmmaker
"Gwyneth Barber Wood, poet
"Edward Baugh, poet
"Louise Bennett-Coverley, poet
"Carl Bradshaw, actor, producer
"Jean "Binta" Breeze, poet
"Yvonne Brewster, theatre director
"Erna Brodber, novelist
"Charles Hopel Brown, writer, author
"Lady Colin Campbell, writer, socialite
"Morris Cargill, journalist
"Margaret Cezair-Thompson, novelist
"Colin Channer, novelist, co-founder of Calabash
"Staceyann Chin, poet and writer
"Michelle Cliff, writer
"Aston Cooke, playwright, artistic director
"Carolyn Cooper, writer and cultural theorist
"Christine Craig, poet and short story writer
"Kwame Dawes, Ghana-born writer, co-founder of Calabash
"Jean D'Costa, professor, linguist, and children's novelist
"John Figueroa, poet
"Honor Ford-Smith, artist, writer, performer, educator
"Kirk Fraser, film director, film producer, screenwriter
"Ryan Fraser, writer
"Marcus Garvey, political activist
"Malcolm Gladwell, writer, journalist
"Thomas Glave, Bronx-born writer
"Lorna Goodison, writer
"Mona Hammond, actress
"Thomas Duffus Hardy, historian
"Hubert Henry Harrison, activist, philosopher
"John Hearne, novelist
"Perry Henzell, writer, director
"Stephen Hopkins, film director
"Marlon James, novelist
"Vere Johns, writer, broadcaster, actor
"Linton Kwesi Johnson, dub poet
"Grace Jones, model, actor, artist
"Roger Mais, novelist
"Edna Manley, sculptor
"Louis Marriott, playwright, actor, director, journalist
"Una Marson, writer, broadcaster
"Claude McKay, writer
"Alecia McKenzie, writer
"Anthony McNeill, poet
"Carmen McRae, vocalist
"Brian Meeks, novelist
"Kei Miller, writer
"Pamela Mordecai, poet
"Mervyn Morris, poet
"Mutabaruka, poet
"Oku Onuora, writer
"Geoffrey Philp, writer
"Patricia Powell, novelist
"Claudia Rankine, poet
"Barry Reckord, playwright
"Lloyd Reckord, actor, producer, director, playwright
"Victor Stafford Reid, writer
"Leone Ross, novelist, editor, short story writer, journalist, academic
"Andrew Salkey, writer
"Dennis Scott, poet and playwright
"Olive Senior, writer
"Madge Sinclair, actress
"Malachi Smith, poet
"Pamela Colman Smith, artist and writer
"Michael Thelwell, writer
