"Cities
"Towns
"Villages
"Records
"Outline
"Portal
"Category
"Mori Arinori
"Tsunesaburō Makiguchi
"Midori Suzuki
"Fukuzawa Yukichi
"Tsuda Yukio
"Ienaga Saburō
"Kanda Nobuo
"Maruyama Masao
"Naitō Torajirō
"Abe Masakatsu
"Adachi Kagemori
"Adams, William (foreign born)
"Akao Kiyotsuna
"Akechi Mitsuhide
"Akiyama Nobutomo
"Amago Haruhisa
"Amago Yoshihisa
"Ankokuji Ekei
"Aochi Shigetsuna
"Arai Hakuseki
"Araki Murashige
"Arima Kihei
"Asakura Yoshikage
"Azai Hisamasa
"Azai Nagamasa
"Azai Sukemasa
"Baba Nobufusa
"Bessho Nagaharu
"Chōsokabe Morichika
"Chōsokabe Kunichika
"Chōsokabe Motochika
"Chōsokabe Nobuchika
"Collache, Eugène
"Date Masamune
"Doi Toshikatsu
"Endō Naotsune
"Enomoto Takeaki
"Fūma Kotarō
"Fuwa Mitsuharu
"Fujiwara no Hidesato (Tawara no Tōda)
"Fukushima Masanori
"Gamō Katahide
"Gamō Ujisato
"Hasekura Tsunenaga
"Hattori Hanzō
"Hatano Hideharu
"Hirate Masahide
"Hitotsubashi Keiki
"Hōjō Masako
"Hōjō Tokimune
"Hōjō Ujiyasu
"Hōjō Ujimasa
"Honda Tadakatsu
"Honda Komatsu (Inahime)
"Honganji Kennyo
"Hosokawa Fujitaka
"Hosokawa Gracia
"Hosokawa Tadaoki
"Hotta Masatoshi
"Ii Naomasa
"Ii Naomori
"Ii Naosuke
"Ii Naotaka
"Ii Naoyuki
"Iizasa Ienao
"Ijuin Tada'aki
"Imagawa Yoshimoto
"Imai Kanehira
"Ishida Mitsunari
"Itagaki Nobukata
"Itagaki Taisuke
"Itō Hirobumi
"Iwanari Tomomichi
"Kaneko Ietada
"Katagiri Katsumoto
"Katō Kiyomasa
"Kawakami Gensai
"Kido Takayoshi
"Kikkawa Hiroie
"Kimotsuki Kanetsugu
"Kobayakawa Hideaki
"Kobayakawa Hidekane
"Kobayakawa Takakage
"Kojima Toyoharu
"Kuroda Denta
"Kuroda Kanbei Don Sim(e)on Josui Yoshitaka
"Kuroda Kiyotaka
"Kusunoki Masashige
"Kumagai Naozane
"Maeda Keiji
"Maeda Nagatane
"Maeda Toshiie
"Maeda Toshinaga
"Maeda Toshitsune
"Manabe Akifusa
"Matsudaira Nobutsuna
"Matsudaira Nobuyasu
"Matsudaira Higo no Kami Katamori
"Matsudaira Sadanobu
"Matsudaira Tadayoshi
"Matsudaira Teru
"Matsunaga Hisahide
"Matsuo Bashō
"Matsudaira Motoyasu
"Minamoto no Mitsunaka
"Minamoto no Yoshiie
"Minamoto no Yoshimitsu
"Minamoto no Yoshinaka
"Minamoto no Yoshitomo
"Minamoto no Yoshitsune
"Minamoto no Tameyoshi
"Minamoto no Yorimasa
"Minamoto no Yorimitsu
"Minamoto no Yoritomo
"Minamoto no Noriyori
"Mirei Kiritani
"Miura Anjin
"Miura Yoshimoto
"Miyamoto Musashi
"Miyoshi Chōkei
"Miyoshi Yoshitsugu
"Mizuno Tadakuni
"Mōri Motonari
"Mori Nagayoshi
"Mōri Okimoto
"Mori Ranmaru
"Mōri Takamoto
"Mōri Terumoto
"Mori Yoshinari
"Nagakura Shinpachi
"Nagao Harukage
"Nagao Masakage
"Nagao Tamekage
"Naoe Kanetsugu
"Nakagawa Kiyohide
"Naoe Kagetsuna
"Naoe Kanetsugu
"Nihonmatsu Yoshitsugu
"Niimi Nishiki
"Niiro Tadamoto
"Niwa Nagahide
