"Yitzhak Tshuva","List_of_Libyans"
"Zuhra Ramdan Agha Al-Awji","List_of_Libyans"
"Mohammed Shegewi","List_of_Libyans"
"Omar Khalifa Mohammed Abu Bakr","List_of_Libyans"
"Omar Deghayes","List_of_Libyans"
"Muhammad Abd Allah Mansur Al Futuri","List_of_Libyans"
"Abdel Hamid Ibn Abdussalem Ibn Mifta Al Ghazzawi","List_of_Libyans"
"Salem Abdul Salem Ghereby","List_of_Libyans"
"Abu Yahia al-Libi","List_of_Libyans"
"Abdul Rauf Omar Mohammed Abu Al Qusin","List_of_Libyans"
"Ashraf Salim Abd Al Salam Sultan","List_of_Libyans"
"Ibrahim Mahdy Achmed Zeidan","List_of_Libyans"
"Kamel Maghur","List_of_Libyans"
"Ibn al-Ajdābī","List_of_Libyans"
"Kalifa Tillisi","List_of_Libyans"
"Nadia Ali","List_of_Libyans"
"Ahmed Fakroun","List_of_Libyans"
"Nasser el-Mizdawi","List_of_Libyans"
"House of Shennib","List_of_Libyans"
"Wanis al-Qaddafi","List_of_Libyans"
"Omar Faiek Shennib","List_of_Libyans"
"Wahbi al-Bouri","List_of_Libyans"
"Abdul Salam al-Buseiri","List_of_Libyans"
"Mohieddin Fikini","List_of_Libyans"
"Abdul Majid Kubar","List_of_Libyans"
"Hussein Maziq","List_of_Libyans"
"Mahmud al-Muntasir","List_of_Libyans"
"Umar Mustafa al-Muntasir","List_of_Libyans"
"Muhammad Sakizli","List_of_Libyans"
"Abdel Rahman Shalgham","List_of_Libyans"
"Jadallah Azzuz at-Talhi","List_of_Libyans"
"Hassan Tatanaki","List_of_Libyans"
"Dr. Ali Abdulsalam Treki","List_of_Libyans"
"Abdulrahman Sewehli","List_of_Libyans"
"Omar Faiek Shennib","List_of_Libyans"
"Abdul Qadir al-Badri","List_of_Libyans"
"Abdul Hamid al-Bakkoush","List_of_Libyans"
"Abuzed Omar Dorda","List_of_Libyans"
"Mohieddin Fikini","List_of_Libyans"
"Mustafa Ben Halim","List_of_Libyans"
"Abdessalam Jalloud","List_of_Libyans"
"Mahmoud Jibril","List_of_Libyans"
"Mahmud Sulayman al-Maghribi","List_of_Libyans"
"Baghdadi Mahmudi","List_of_Libyans"
"Muhammad Ahmad al-Mangoush","List_of_Libyans"
"Hussein Maziq","List_of_Libyans"
"Mahmud al-Muntasir","List_of_Libyans"
"Umar Mustafa al-Muntasir","List_of_Libyans"
"Abdul Ati al-Obeidi","List_of_Libyans"
"Wanis al-Qaddafi","List_of_Libyans"
"Abdul Majid al-Qa′ud","List_of_Libyans"
"Muhammad az-Zaruq Rajab","List_of_Libyans"
"Muhammad Osman Said","List_of_Libyans"
"Muhammad Sakizli","List_of_Libyans"
"Imbarek Shamekh","List_of_Libyans"
"Jadallah Azzuz at-Talhi","List_of_Libyans"
"Ehtuish Ehtuish","List_of_Libyans"
"Alaa Murabit","List_of_Libyans"
"Abd As-Salam Al-Asmar","List_of_Libyans"
"Sharif El Gariani","List_of_Libyans"
"Simon of Cyrene","List_of_Libyans"
"Ahmad Zarruq","List_of_Libyans"
"Pope Victor I","List_of_Libyans"
"Lucius of Cyrene","List_of_Libyans"
"Jason of Cyrene","List_of_Libyans"
"Sulaiman al-Barouni","List_of_Libyans"
"Omar al-Mukhtar","List_of_Libyans"
"Sayyid Ahmed Sharif es Senussi","List_of_Libyans"
"Ramadan Sewehli","List_of_Libyans"
"Sayyid Muhammad bin 'Ali as-Senussi","List_of_Libyans"
"Queen Fatima","List_of_Libyans"
"Idris I of Libya","List_of_Libyans"
"Sayyid Hassan ar-Rida","List_of_Libyans"
"Sayyid Ahmed Sharif es Senussi","List_of_Libyans"
"Muhammad as-Senussi","List_of_Libyans"
"Omar Faiek Shennib","List_of_Libyans"
"Battaros","List_of_Libyans"
"Muammar Gaddafi","List_of_Libyans"
"Idris I of Libya","List_of_Libyans"
"Mustafa Abdul Jalil","List_of_Libyans"
"Ahmed Karamanli","List_of_Libyans"
"Yusuf Karamanli","List_of_Libyans"
"Umar Mihayshi","List_of_Libyans"
"Septimius Severus","List_of_Libyans"
"Caracalla","List_of_Libyans"
"Geta","List_of_Libyans"
"Zentani Muhammad az-Zentani","List_of_Libyans"
"Eratosthenes","List_of_Libyans"
"Suleiman Ali Nashnush","List_of_Libyans"
"Samir Aboud","List_of_Libyans"
"Luis de Agustini","List_of_Libyans"
"Muhammed Alsnany","List_of_Libyans"
"Akram Ayyad","List_of_Libyans"
"Mansour Al Borki","List_of_Libyans"
"Ehab Al Bousefi","List_of_Libyans"
"Omar Daoud","List_of_Libyans"
"Meftah Ghazalla","List_of_Libyans"
"Osama Al Hamady","List_of_Libyans"
"Khaled Hussein","List_of_Libyans"
"Abdesalam Kames","List_of_Libyans"
"Nader Kara","List_of_Libyans"
"Abdusalam Khames","List_of_Libyans"
"Ahmed Faraj El Masli","List_of_Libyans"
"Waled Mhadeb","List_of_Libyans"
"Rabe Al Msellati","List_of_Libyans"
"Jehad Muntasser","List_of_Libyans"
"Arafa Nakuaa","List_of_Libyans"
"Walid Ali Osman","List_of_Libyans"
"Ali Rahuma","List_of_Libyans"
"Marei Al Ramly","List_of_Libyans"
"Salem Ibrahim Al Rewani","List_of_Libyans"
"Alejandro Ruben","List_of_Libyans"
"Hesham Shaban","List_of_Libyans"
"Mohmoud Maklouf Shafter","List_of_Libyans"
"Younes Al Shibani","List_of_Libyans"
"Naji Shushan","List_of_Libyans"
"Abdulnaser Slil","List_of_Libyans"
"Tarik El Taib","List_of_Libyans"
"Reda Al Tawrghe","List_of_Libyans"
"Mohamed Zubya","List_of_Libyans"
"Ahmed Mahmoud Zuway","List_of_Libyans"
"Ahmed Rafiq Almhadoui","List_of_Libyans"
"Saddeka Arebi","List_of_Libyans"
"Daif Al-Ghazal","List_of_Libyans"
"Ibrahim Al-Koni","List_of_Libyans"
"Hisham Matar","List_of_Libyans"
"Ahmed Fouad Shennib","List_of_Libyans"
"Don Coscarelli","List_of_Libyans"
"Maysoon Shaladi","List_of_Libyans"
"Lists of Libyan people","List_of_Libyans"
