"Katya Paskaleva (1945–2002)
"Andrey Damyanov (1813–1878)&#91;10&#93;
"Naum Torbov (1880–1952)
"Kroum Pindoff (born 1915)
"Paisiy Hilendarski  (1722–1773)
"Kiril Peychinovich (1770–1865)&#91;10&#93;
"Neofit Rilski (1793–1881)
"Parteniy Zografski (1818–1876)&#91;10&#93;
"Nathanael of Ohrid (1820–1906)&#91;10&#93;
"Lazar Mladenov (1854–1917)
"Atanas Badev (1860–1908)&#91;10&#93;
"Dimitar Rizov (1862–1918)
"Nikola Stoyanov (1874–1967)
"Simeon Radev (1879–1967)
"Dimitar Petrov (born 1924)
"George Lebamoff president of Macedonian Patriotic Organization
"Hristofor Zhefarovich (18th-century)
"Miladinov Brothers (1810–1862)&#91;10&#93;
"Marko Cepenkov (1829–1920)&#91;10&#93;
"Grigor Parlichev (1830–1893) &#91;10&#93;
"Kuzman Shapkarev (1834–1909)&#91;10&#93;
"Jordan Hadži Konstantinov-Džinot (1818–1882) &#91;10&#93;
"Rajko Žinzifov (1839–1877) &#91;10&#93;
"Krste Misirkov (1874–1926)&#91;10&#93;
"Voydan Chernodrinski (1875–1951)&#91;10&#93;
"Hristo Silyanov (1880–1939)
"Dimitar Talev (1898–1966)
"Hristo Smirnenski (1898–1923)
"Atanas Dalchev, (1904–1978)
"Nikola Vaptsarov (1909–1942)
"Venko Markovski (1915–1988)
"Krastyo Hadzhiivanov (1929–1952)
"Kliment Boyadzhiev (1861–1933)
"Konstantin Zhostov (1867–1916)
"Boris Drangov (1872–1917)
"Petar Darvingov (1875–1958)
"Kiril Yanchulev (1896–1961)
"Dimitar Blagoev (1856–1924)
"Andrey Lyapchev (1866–1933)
"Dimitar Vlahov (1878–1953)&#91;10&#93;
"Spiro Kitinchev (1895–1946)
"Georgi Traykov (1898–1975)
"Anton Yugov (1904–1991)
"Metodi Shatorov (1897–1944)&#91;10&#93;
"Georgi Pirinski (born 1948)
"Irina Bokova (born 1952)
"Rosen Plevneliev (born 1964)
"Ljubčo Georgievski (born 1966)&#91;10&#93;
"Chavdar Voyvoda (16th-century)
"Ilyo Voyvoda (1822–1900)&#91;10&#93;
"Hristo Makedonski (1835–1916)
"Dimitar Pop Georgiev - Berovski (1840–1907)&#91;10&#93;
"Georgi Izmirliev (1851–1876)
"Trayko Kitanchev (1858–1895)
"Kosta Shahov (1862–1917)
"Gyorche Petrov (1864–1921)&#91;10&#93;
"Pere Toshev (1865–1912)&#91;10&#93;
"Aleksandar Protogerov (1867–1928)
"Dzole Stojchev (1867–1909)
"Andon Dimitrov (1867–1933)&#91;10&#93;
"Petar Pop-Arsov (1868–1941)&#91;10&#93;
"Hristo Tatarchev (1869–1952)&#91;10&#93;
"Ivan Hadzhinikolov (1869–1934)&#91;10&#93;
"Apostol Petkov (1869–1911)
"Dame Gruev (1871–1906)&#91;10&#93;
"Boris Sarafov (1872–1907)&#91;10&#93;
"Gotse Delchev (1872–1903)&#91;10&#93;
"Kiryak Shkurtov (1872–1965)
"Hristo Matov (1872–1922)
"Aleksandar Turundzhev (1872–1905)
"Yane Sandanski (1872–1915)&#91;10&#93;
"Vasil Chekalarov (1874–1913)
"Cyril Parlichev (1875–1944)
"Metody Patchev (1875–1902)
"Dimo Hadzhidimov (1875–1924)&#91;10&#93;
"Nikola Karev (1877–1905) &#91;10&#93;
"Slaveyko Arsov (1877–1904)
"Kosta Tsipushev (1877–1968)
"Mile Pop Yordanov (1877–1901)
"Lazar Poptraykov (1878–1903)
"Hristo Uzunov (1878–1905)
"Vasil Adzhalarski (1880–1909)
"Ivan Antonov (1880–1928)
"Manush Georgiev (1881–1908)
"Todor Aleksandrov (1881–1924)
"Petar Chaulev (1882–1924)&#91;10&#93;
"Pavel Shatev (1882–1951)&#91;10&#93;
"Panko Brashnarov (1883–1951)&#91;10&#93;
"Andon Kyoseto (1885–1953)
"Hristo Batandzhiev (died 1913)&#91;10&#93;
"Hristo Andonov (1887–1928)
"Ivan Mihailov (1896–1990)
"Mara Buneva (1902–1928)
"Andon Kalchev (1910–1948)
"Lyubomir Miletich (1863–1937)
"Nikola Milev (1881–1925)
"Blagoj Shklifov (1935–2003)
"Iliya Argirov (1932–2012)
"Lyubka Rondova (born 1936)
"Spiro Debarski (born 1933)
"Nikola Kovachev (1934–2009)
"Vasil Metodiev (born 1935)
"Boris Gaganelov (born 1941)
"Aleksandar Tomov (born 1949)
"Stoycho Mladenov (born 1957)
"Ivan Lebanov (born 1957)
"Simeon Shterev (born 1959)
"Krasimir Bezinski (born 1961)
"Kiril Georgiev (born 1965)
"Petar Mihtarski (born 1966)
"Ivaylo Andonov (born 1967)
"Stoycho Stoilov (born 1971)
"Dimtcho Beliakov (born 1971)
"Irina Nikulchina (born 1974)
"Serafim Barzakov (born 1975)
"Georgi Bachev (born 1977)
"Dimitar Berbatov (born 1981)
"Kiril Terziev (born 1983)
"Borislav Hazurov (born 1985)
"Kostadin Hazurov (born 1985)
"Stanislav Manolev (born 1985)
"Iliyan Mitsanski (born 1985)
"Daskal Kamche (1790–1848)
"Baba Vanga (1911–1996)
"Macedonian BulgariansLists of Bulgarian peopleLists of people by ethnicityHidden categories: Webarchive template wayback linksArticles with Bulgarian-language external linksAll articles with dead external linksArticles with dead external links from December 2017Articles with permanently dead external links
