"Sopater","List_of_Macedonians_(Greek)"
"Antipater of Thessalonica","List_of_Macedonians_(Greek)"
"Philippus of Thessalonica","List_of_Macedonians_(Greek)"
"Saint Hermes","List_of_Macedonians_(Greek)"
"Martyr Theodora","List_of_Macedonians_(Greek)"
"Athryilatus","List_of_Macedonians_(Greek)"
"Agape Chionia and Irene","List_of_Macedonians_(Greek)"
"Saint Demetrius","List_of_Macedonians_(Greek)"
"Basil I","List_of_Macedonians_(Greek)"
"Nikephoros Bryennios","List_of_Macedonians_(Greek)"
"Paul I of Constantinople","List_of_Macedonians_(Greek)"
"Demophilus of Constantinople","List_of_Macedonians_(Greek)"
"Saint Methodius","List_of_Macedonians_(Greek)"
"Saint Cyril","List_of_Macedonians_(Greek)"
"Philotheus Kokkinos","List_of_Macedonians_(Greek)"
"Matthew Blastares","List_of_Macedonians_(Greek)"
"Nicholas Cabasilas","List_of_Macedonians_(Greek)"
"Isidore of Kiev","List_of_Macedonians_(Greek)"
"Stobaeus","List_of_Macedonians_(Greek)"
"John Kaminiates","List_of_Macedonians_(Greek)"
"Theodora of Arta","List_of_Macedonians_(Greek)"
"Demetrius Triclinius","List_of_Macedonians_(Greek)"
"Thomas Magister","List_of_Macedonians_(Greek)"
"Gregory Acindynus","List_of_Macedonians_(Greek)"
"Demetrius Cydones","List_of_Macedonians_(Greek)"
"Prochorus Cydones","List_of_Macedonians_(Greek)"
"Nikephoros Choumnos","List_of_Macedonians_(Greek)"
"Konstantinos Armenopoulos","List_of_Macedonians_(Greek)"
"John Anagnostes","List_of_Macedonians_(Greek)"
"Theodorus Gaza","List_of_Macedonians_(Greek)"
"Mazaris","List_of_Macedonians_(Greek)"
"Georgios Kontaris","List_of_Macedonians_(Greek)"
"Michael Astrapas and Eutychios","List_of_Macedonians_(Greek)"
"Andronikos Kallistos","List_of_Macedonians_(Greek)"
"Ioannis Kottounios","List_of_Macedonians_(Greek)"
"Konstantinos Kallokratos","List_of_Macedonians_(Greek)"
"Kallinikos Manios","List_of_Macedonians_(Greek)"
"Georgios Parakeimenos","List_of_Macedonians_(Greek)"
"Sevastos Leontiadis","List_of_Macedonians_(Greek)"
"Michail Papageorgiou","List_of_Macedonians_(Greek)"
"Dimitrios Karakasis","List_of_Macedonians_(Greek)"
"Konstantinos Michail","List_of_Macedonians_(Greek)"
"Georgios Sakellarios","List_of_Macedonians_(Greek)"
"Athanasios Christopoulos","List_of_Macedonians_(Greek)"
"Grigorios Zalykis","List_of_Macedonians_(Greek)"
"Anastasios Michail","List_of_Macedonians_(Greek)"
