"Emmie Chanika
"John Chilembwe
"Rafiq Hajat
"David Rubadiri
"Felix Mnthali
"Frank Chipasula
"Jack Mapanje
"John Lwanda
"Shemu Joyah
"Stanley Onjezani Kenani
"Steve Chimombo
"Attati Mpakati
"Bakili Muluzi
"Bingu wa Mutharika
"Brown Chimphamba – VC, University of Malawi (1990s), current Ambassador to UN
"Brown Mpinganjira
"Chakufwa Chihana
"David Rubadiri – VC, University of Malawi (until 2005)
"Davis Katsonga
"Dunduzu Chisiza
"Eric Chiwaya
"George Chaponda
"Gwanda Chakuamba
"Hastings Kamuzu Banda
"Henry Chipembere
"John Zenas Ungapake Tembo – leader of opposition, Governor of Reserve Bank
"Joyce Banda
"Kanyama Chiume
"Maxwell Mkwezalamba – Minister, OAU
"Yatuta Chisiza
"Zimani Kadzamira – former VC, University of Malawi
"Rachel Sibande (born 1986), computer scientist
"Esau Kanyenda – Malawi's best striker
"Tamika Mkandawire – football player
"Drake Thadzi
"Cecilia Kadzamira
"Charles Domingo
"Elliot Kamwana
"Allan Ngumuya
"Hetherwick Ntaba
"Jane Kambalame – Ambassador to Zimbabwe
"Justin Malewezi
"Orton Chirwa
"Vera Chirwa
"William Kamkwamba
"Outline of Malawi
"Lists of Malawian peopleHidden categories: Dynamic lists
