"Johnson Toribiong, President of the Republic (2009-)
"Tommy Remengesau, President of the Republic (2001-2009)
"Elias Camsek Chin, Senator in 8th OEK (National Congress); Former Vice-President of the Republic (2005-2009)
"Kerai Mariur, current Vice-President of the Republic (2009-)
"Ngiratkel Etpison, President of the Republic (1989-1993)
"Kuniwo Nakamura, President of the Republic (1993-2001)
"Sandra Pierantozzi, former Vice President of the Republic (2001-2004)
"Haruo Remeliik, first President of the Republic (1981-1985)
"Lazarus Salii, President of the Republic (1985-1988)
"Roman Tmetuchl
"Hans Ongelungel, contemporary Palauan artist
"Lists of people by nationalityPalauan peoplePalau-related listsLists of Oceanian peoplePalau stubsHidden categories: All stub articles
