"Walter Alva","List_of_Peruvians"
"Santiago Antúnez de Mayolo","List_of_Peruvians"
"Javier Arias Stella","List_of_Peruvians"
"Anthony Atala","List_of_Peruvians"
"Oswaldo Baca","List_of_Peruvians"
"Alberto Barton","List_of_Peruvians"
"G. E. Berrios","List_of_Peruvians"
"Carlos Bustamante","List_of_Peruvians"
"Ernesto Bustamante","List_of_Peruvians"
"Rubén Castillo Anchapuri","List_of_Peruvians"
"A. Roberto Frisancho","List_of_Peruvians"
"Juan de Dios Guevara","List_of_Peruvians"
"Enrique Guzmán y Valle","List_of_Peruvians"
"Rafael Larco Hoyle","List_of_Peruvians"
"Federico Kauffmann Doig","List_of_Peruvians"
"Javier Mariátegui","List_of_Peruvians"
"Juan Mezzich","List_of_Peruvians"
"Modesto Montoya","List_of_Peruvians"
"Carlos M. Ochoa","List_of_Peruvians"
"Piermaria Oddone","List_of_Peruvians"
"Orlando Olcese","List_of_Peruvians"
"Carlos Carrillo Parodi","List_of_Peruvians"
"Pedro Paulet","List_of_Peruvians"
"Gustavo R. Paz-Pujalt","List_of_Peruvians"
"Mariano Felipe Paz Soldán","List_of_Peruvians"
"Susana Pinilla","List_of_Peruvians"
"Gastón Pons Muzzo","List_of_Peruvians"
"Abundio Sagástegui Alva","List_of_Peruvians"
"Ruth Shady","List_of_Peruvians"
"Fernando Silva Santisteban","List_of_Peruvians"
"Julio C. Tello","List_of_Peruvians"
"José Tola Pasquel","List_of_Peruvians"
"Alfredo Torero","List_of_Peruvians"
"Jose L. Torero","List_of_Peruvians"
"Mariano Eduardo de Rivero y Ustariz","List_of_Peruvians"
"Fabiola Leon Velarde","List_of_Peruvians"
"Federico Villarreal","List_of_Peruvians"
"Barton Zwiebach","List_of_Peruvians"
"Jorge Aliaga Cacho","List_of_Peruvians"
"Jorge Basadre","List_of_Peruvians"
"José Antonio del Busto Duthurburu","List_of_Peruvians"
"Hildebrando Castro Pozo","List_of_Peruvians"
"Antonio Cornejo Polar","List_of_Peruvians"
"Honorio Delgado","List_of_Peruvians"
"Hernando de Soto","List_of_Peruvians"
"Alejandro Deustua","List_of_Peruvians"
"Alberto Flores Galindo","List_of_Peruvians"
"Maria Elena Foronda Farro","List_of_Peruvians"
"Gustavo Gutiérrez","List_of_Peruvians"
"Mariano Iberico Rodríguez","List_of_Peruvians"
"Víctor Li-Carrillo Chía","List_of_Peruvians"
"Guillermo Lohmann Villena","List_of_Peruvians"
"Manuel de Mendiburu","List_of_Peruvians"
"Francisco Miró Quesada Cantuarias","List_of_Peruvians"
"Antenor Orrego","List_of_Peruvians"
"Walter Peñaloza","List_of_Peruvians"
"Anibal Quijano","List_of_Peruvians"
"Liliana Rojas-Suarez","List_of_Peruvians"
"María Rostworowski","List_of_Peruvians"
"Rubén Vargas Ugarte","List_of_Peruvians"
"César Vásquez Bazán","List_of_Peruvians"
"Carlos Wiesse Portocarrero","List_of_Peruvians"
"Pedro Zulen","List_of_Peruvians"
"Alejandro Aguinaga","List_of_Peruvians"
"Daniel Alcides Carrión","List_of_Peruvians"
"Carlos Manuel Chavez","List_of_Peruvians"
"Maria Freire","List_of_Peruvians"
"Max González Olaechea","List_of_Peruvians"
"Humberto Guerra Allison","List_of_Peruvians"
"Cayetano Heredia","List_of_Peruvians"
"Augusto Huaman Velasco","List_of_Peruvians"
"Arturo Jiménez Borja","List_of_Peruvians"
"Carlos Monge Medrano","List_of_Peruvians"
"Augusto Pérez Araníbar","List_of_Peruvians"
"Hugo Pesce","List_of_Peruvians"
"Ernesto Pinto-Bazurco","List_of_Peruvians"
"Laura Esther Rodriguez Dulanto","List_of_Peruvians"
"Carlos Alberto Seguín","List_of_Peruvians"
"Hipólito Unanue","List_of_Peruvians"
"Hermilio Valdizán","List_of_Peruvians"
"Carlos Vallejos Sologuren","List_of_Peruvians"
"Javier Alva Orlandini","List_of_Peruvians"
"Antonio Arenas","List_of_Peruvians"
"Víctor Andrés Belaúnde","List_of_Peruvians"
"Luis Bedoya Reyes","List_of_Peruvians"
"Óscar R. Benavides","List_of_Peruvians"
"José Bustamante y Rivero","List_of_Peruvians"
"Ramón Castilla","List_of_Peruvians"
"Héctor Cornejo Chávez","List_of_Peruvians"
"Nicolás de Piérola","List_of_Peruvians"
"Alberto Fujimori","List_of_Peruvians"
"Aída García Naranjo","List_of_Peruvians"
"Alan García Pérez","List_of_Peruvians"
"Juan Manuel Guillén","List_of_Peruvians"
"Víctor Raúl Haya de la Torre","List_of_Peruvians"
"Ollanta Humala Tasso","List_of_Peruvians"
"Humberto Lay","List_of_Peruvians"
"Augusto B. Leguía","List_of_Peruvians"
"José Carlos Mariátegui","List_of_Peruvians"
"Sandro Mariategui Chiappe","List_of_Peruvians"
"Vladimiro Montesinos","List_of_Peruvians"
"Francisco Morales Bermudez","List_of_Peruvians"
"Luis José de Orbegoso","List_of_Peruvians"
"Jose Pardo y Barreda","List_of_Peruvians"
"Manuel Pardo y Lavalle","List_of_Peruvians"
"Javier Pérez de Cuéllar","List_of_Peruvians"
"Mariano Ignacio Prado","List_of_Peruvians"
"Manuel Prado Ugarteche","List_of_Peruvians"
"Albina Ruiz","List_of_Peruvians"
"Luis Alberto Sánchez","List_of_Peruvians"
"Luis Miguel Sánchez Cerro","List_of_Peruvians"
"Alejandro Toledo","List_of_Peruvians"
"Juan Velasco Alvarado","List_of_Peruvians"
"Pedro Pablo Kuczynski","List_of_Peruvians"
"Tupac Amaru II","List_of_Peruvians"
"Néstor Cerpa Cartolini","List_of_Peruvians"
"Edith Lagos","List_of_Peruvians"
"Mariano Melgar","List_of_Peruvians"
"Osmán Morote Barrionuevo","List_of_Peruvians"
"Víctor Polay","List_of_Peruvians"
"Mateo Pumacahua","List_of_Peruvians"
"Óscar Ramírez","List_of_Peruvians"
"Augusta la Torre","List_of_Peruvians"
"Abimael Guzmán","List_of_Peruvians"
"Elena Iparraguirre","List_of_Peruvians"
"Manco Capac","List_of_Peruvians"
"Sinchi Roca","List_of_Peruvians"
"Mayta Cápac","List_of_Peruvians"
"Cápac Yupanqui","List_of_Peruvians"
"Inca Roca","List_of_Peruvians"
"Yahuar Huaca","List_of_Peruvians"
"Pachacuti","List_of_Peruvians"
"Huayna Capac","List_of_Peruvians"
"Huáscar","List_of_Peruvians"
"Atahualpa","List_of_Peruvians"
"Manco Inca Yupanqui","List_of_Peruvians"
"Titu Cusi Yupanqui","List_of_Peruvians"
"Túpac Amaru","List_of_Peruvians"
"José Gálvez","List_of_Peruvians"
"Miguel Grau","List_of_Peruvians"
"José Olaya","List_of_Peruvians"
"Jorge Chávez","List_of_Peruvians"
"Alfonso Ugarte","List_of_Peruvians"
"Andrés Avelino Cáceres","List_of_Peruvians"
"Leoncio Prado","List_of_Peruvians"
"Emilio Cavenecia","List_of_Peruvians"
"Mauro Mina","List_of_Peruvians"
"Orlando Romero","List_of_Peruvians"
"Oscar Rivadeneira","List_of_Peruvians"
"Marcelo Quiñones","List_of_Peruvians"
"Kina Malpartida","List_of_Peruvians"
"Esteban Canal","List_of_Peruvians"
"Jorge Cori","List_of_Peruvians"
"Deysi Cori","List_of_Peruvians"
"Julio Granda","List_of_Peruvians"
"Oscar Quiñones","List_of_Peruvians"
"Guillermo Ruiz","List_of_Peruvians"
"Julio Baylón","List_of_Peruvians"
"José Luis Carranza","List_of_Peruvians"
"Roberto Challe","List_of_Peruvians"
"Héctor Chumpitaz","List_of_Peruvians"
"Luis Cruzado","List_of_Peruvians"
"Teófilo Cubillas","List_of_Peruvians"
"César Cueto","List_of_Peruvians"
"José del Solar","List_of_Peruvians"
"Jefferson Farfán","List_of_Peruvians"
"Raúl Fernández","List_of_Peruvians"
"Teodoro "Lolo" Fernández","List_of_Peruvians"
"Nicolás Fuentes","List_of_Peruvians"
"Alberto Gallardo","List_of_Peruvians"
"José Paolo Guerrero","List_of_Peruvians"
"Pedro León","List_of_Peruvians"
"Valeriano López","List_of_Peruvians"
"Roberto Martínez Vera-Tudela","List_of_Peruvians"
"Julio Meléndez","List_of_Peruvians"
"Ramón Mifflin","List_of_Peruvians"
"Claudio Pizarro","List_of_Peruvians"
"Percy Rojas","List_of_Peruvians"
"Oswaldo Ramírez","List_of_Peruvians"
"Nolberto Solano","List_of_Peruvians"
"Hugo Sotil","List_of_Peruvians"
"Alberto Terry","List_of_Peruvians"
"Juan Manuel Vargas","List_of_Peruvians"
"Alejandro Villanueva","List_of_Peruvians"
"Santiago Acasiete","List_of_Peruvians"
"Jair Baylón","List_of_Peruvians"
"Leao Butron","List_of_Peruvians"
"Daniel Chávez","List_of_Peruvians"
"Rinaldo Cruzado","List_of_Peruvians"
"Juan Cominges","List_of_Peruvians"
"Johan Fano","List_of_Peruvians"
"Martín Hidalgo","List_of_Peruvians"
"Hernan Rengifo","List_of_Peruvians"
"Alberto Junior Rodríguez Valdelomar","List_of_Peruvians"
"Carlos Zambrano","List_of_Peruvians"
"Sofia Mulanovich","List_of_Peruvians"
"Laura Gildemeister","List_of_Peruvians"
"Luis Horna","List_of_Peruvians"
"Alejandro Olmedo","List_of_Peruvians"
"Jaime Yzaga","List_of_Peruvians"
"Iván Miranda","List_of_Peruvians"
"Mauricio Echazu","List_of_Peruvians"
"Laura Arraya","List_of_Peruvians"
"Duilio Beretta","List_of_Peruvians"
"Denisse Fajardo","List_of_Peruvians"
"Rosa García","List_of_Peruvians"
"Gina Torrealva","List_of_Peruvians"
"Natalia Málaga","List_of_Peruvians"
"Gabriela Pérez del Solar","List_of_Peruvians"
"Cecilia Tait","List_of_Peruvians"
"Leyla Chihuán","List_of_Peruvians"
"Edgar Prado","List_of_Peruvians"
"Jorge F. Chavez","List_of_Peruvians"
"Kenny Florian","List_of_Peruvians"
"Antonio Oré","List_of_Peruvians"
"Jorge Andres","List_of_Peruvians"
"Juana Burga Cervera","List_of_Peruvians"
"Helena Christensen","List_of_Peruvians"
"Madeleine Hartog Bell","List_of_Peruvians"
"Claudia Hernández","List_of_Peruvians"
"María Julia Mantilla","List_of_Peruvians"
"Tilsa Lozano","List_of_Peruvians"
"Danella Lucioni","List_of_Peruvians"
"Gladys Zender","List_of_Peruvians"
"Paddington Bear","List_of_Peruvians"
"Saint Rose of Lima","List_of_Peruvians"
"Saint Martin de Porres","List_of_Peruvians"
"Gaston Acurio","List_of_Peruvians"
"Lady Bardales","List_of_Peruvians"
"Analí Cabrera","List_of_Peruvians"
"Jorge Chavez","List_of_Peruvians"
"Raúl Chávez Sarmiento","List_of_Peruvians"
"Alicia Delgado","List_of_Peruvians"
"Virgilio Martínez Véliz","List_of_Peruvians"
"Carlos I. Noriega","List_of_Peruvians"
"Amanda Portales","List_of_Peruvians"
"Luis Miró Quesada Garland","List_of_Peruvians"
"Richiardi Jr","List_of_Peruvians"
"Pamela Rodríguez","List_of_Peruvians"
"Wenceslao Sarmiento","List_of_Peruvians"
"Pamela Silva Conde","List_of_Peruvians"
"Army officiers","List_of_Peruvians"
"Limeños","List_of_Peruvians"
"Presidents","List_of_Peruvians"
"Writers","List_of_Peruvians"
"Regions","List_of_Peruvians"
"Cities","List_of_Peruvians"
"Districts of Lima","List_of_Peruvians"
"Islands","List_of_Peruvians"
"Lakes","List_of_Peruvians"
"Mountains","List_of_Peruvians"
"Natural regions","List_of_Peruvians"
