"Afghan","List_of_Scotch-Irish_Americans"
"African","List_of_Scotch-Irish_Americans"
"African-American Jews","List_of_Scotch-Irish_Americans"
"Albanian","List_of_Scotch-Irish_Americans"
"Amish","List_of_Scotch-Irish_Americans"
"Angolan","List_of_Scotch-Irish_Americans"
"Antiguan and Barbudan","List_of_Scotch-Irish_Americans"
"Arab","List_of_Scotch-Irish_Americans"
"Argentine","List_of_Scotch-Irish_Americans"
"Armenian","List_of_Scotch-Irish_Americans"
"Asian","List_of_Scotch-Irish_Americans"
"Assyrian","List_of_Scotch-Irish_Americans"
"Australian","List_of_Scotch-Irish_Americans"
"Austrian","List_of_Scotch-Irish_Americans"
"Azerbaijani","List_of_Scotch-Irish_Americans"
"Bahamian","List_of_Scotch-Irish_Americans"
"Baloch","List_of_Scotch-Irish_Americans"
"Bangladeshi","List_of_Scotch-Irish_Americans"
"Barbadian","List_of_Scotch-Irish_Americans"
"Belarusian","List_of_Scotch-Irish_Americans"
"Belgian","List_of_Scotch-Irish_Americans"
"Belizean","List_of_Scotch-Irish_Americans"
"Beninese","List_of_Scotch-Irish_Americans"
"Bermudian","List_of_Scotch-Irish_Americans"
"Bolivian","List_of_Scotch-Irish_Americans"
"Bosnian","List_of_Scotch-Irish_Americans"
"Brazilian","List_of_Scotch-Irish_Americans"
"Bulgarian","List_of_Scotch-Irish_Americans"
"Burmese","List_of_Scotch-Irish_Americans"
"Cajun","List_of_Scotch-Irish_Americans"
"Cambodian","List_of_Scotch-Irish_Americans"
"Cameroonian","List_of_Scotch-Irish_Americans"
"Canadian","List_of_Scotch-Irish_Americans"
"Caribbean","List_of_Scotch-Irish_Americans"
"Chilean","List_of_Scotch-Irish_Americans"
"Chinese","List_of_Scotch-Irish_Americans"
"Fuzhou","List_of_Scotch-Irish_Americans"
"Hakka","List_of_Scotch-Irish_Americans"
"Taiwan","List_of_Scotch-Irish_Americans"
"Hong Kong","List_of_Scotch-Irish_Americans"
"Tibetan","List_of_Scotch-Irish_Americans"
"Colombian","List_of_Scotch-Irish_Americans"
"Congolese","List_of_Scotch-Irish_Americans"
"Coptic","List_of_Scotch-Irish_Americans"
"Cossack","List_of_Scotch-Irish_Americans"
"Costa Rican","List_of_Scotch-Irish_Americans"
"Croatian","List_of_Scotch-Irish_Americans"
"Cuban","List_of_Scotch-Irish_Americans"
"Cypriot","List_of_Scotch-Irish_Americans"
"Czech","List_of_Scotch-Irish_Americans"
"Danish","List_of_Scotch-Irish_Americans"
"Dominican Americans (Dominica)","List_of_Scotch-Irish_Americans"
"Dominican Americans (Dominican Republic)","List_of_Scotch-Irish_Americans"
"Dutch","List_of_Scotch-Irish_Americans"
"Ecuadorian","List_of_Scotch-Irish_Americans"
"Egyptian","List_of_Scotch-Irish_Americans"
"Emirati","List_of_Scotch-Irish_Americans"
"English","List_of_Scotch-Irish_Americans"
"Estonian","List_of_Scotch-Irish_Americans"
"Ethiopian","List_of_Scotch-Irish_Americans"
"Fijian","List_of_Scotch-Irish_Americans"
"Filipino","List_of_Scotch-Irish_Americans"
"Finnish","List_of_Scotch-Irish_Americans"
"French","List_of_Scotch-Irish_Americans"
"Gambian","List_of_Scotch-Irish_Americans"
"Georgian","List_of_Scotch-Irish_Americans"
"German","List_of_Scotch-Irish_Americans"
"Ghanaian","List_of_Scotch-Irish_Americans"
"Greek","List_of_Scotch-Irish_Americans"
"Guatemalan","List_of_Scotch-Irish_Americans"
"Guinean","List_of_Scotch-Irish_Americans"
"Guyanese","List_of_Scotch-Irish_Americans"
"Haitian","List_of_Scotch-Irish_Americans"
"Hispanic and Latino","List_of_Scotch-Irish_Americans"
"Hmong","List_of_Scotch-Irish_Americans"
"Honduran","List_of_Scotch-Irish_Americans"
"Hungarian","List_of_Scotch-Irish_Americans"
"Icelandic","List_of_Scotch-Irish_Americans"
"Indian","List_of_Scotch-Irish_Americans"
"Bengali","List_of_Scotch-Irish_Americans"
"Gujarati","List_of_Scotch-Irish_Americans"
"Indo-Caribbean","List_of_Scotch-Irish_Americans"
"Punjabi","List_of_Scotch-Irish_Americans"
"Tamil","List_of_Scotch-Irish_Americans"
"Indonesian","List_of_Scotch-Irish_Americans"
"Iranian","List_of_Scotch-Irish_Americans"
"Iraqi","List_of_Scotch-Irish_Americans"
"Irish","List_of_Scotch-Irish_Americans"
"Israeli","List_of_Scotch-Irish_Americans"
"Italian","List_of_Scotch-Irish_Americans"
"Ivorian","List_of_Scotch-Irish_Americans"
"Jamaican","List_of_Scotch-Irish_Americans"
"Japanese","List_of_Scotch-Irish_Americans"
"Jews","List_of_Scotch-Irish_Americans"
"Kazakh","List_of_Scotch-Irish_Americans"
"Kenyan","List_of_Scotch-Irish_Americans"
"Korean","List_of_Scotch-Irish_Americans"
"Kurdish","List_of_Scotch-Irish_Americans"
"Kuwaiti","List_of_Scotch-Irish_Americans"
"Laotian","List_of_Scotch-Irish_Americans"
"Latvian","List_of_Scotch-Irish_Americans"
"Lebanese","List_of_Scotch-Irish_Americans"
"Liberian","List_of_Scotch-Irish_Americans"
"Lithuanian","List_of_Scotch-Irish_Americans"
"Louisiana Creole","List_of_Scotch-Irish_Americans"
