"Demonym","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for astronomical bodies","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for continental regions","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for subcontinental regions","List_of_adjectival_forms_of_place_names"
"List of adjectival and demonymic forms for countries and nations","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for Australia","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for Canada","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for India","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for Malaysia","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for Mexico","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for New Zealand","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for the Philippines","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for the United States","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for cities","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for former regions","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for Greco-Roman antiquity","List_of_adjectival_forms_of_place_names"
"List of adjectivals and demonyms for fictional regions","List_of_adjectival_forms_of_place_names"
"Lists of place names","List_of_adjectival_forms_of_place_names"
