"Svalbard","List_of_countries"
"Jan Mayen","List_of_countries"
"Bouvet Island","List_of_countries"
"Peter I Island","List_of_countries"
"Queen Maud Land","List_of_countries"
"Baker Island","List_of_countries"
"Howland Island","List_of_countries"
"Jarvis Island","List_of_countries"
"Johnston Atoll","List_of_countries"
"Kingman Reef","List_of_countries"
"Midway Atoll","List_of_countries"
"Navassa Island","List_of_countries"
"Wake Island","List_of_countries"
"Bajo Nuevo Bank","List_of_countries"
"Serranilla Bank","List_of_countries"
"ISO 3166-1","List_of_countries"
"Adjectivals and demonyms for countries and nations","List_of_countries"
"Gallery of country coats of arms","List_of_countries"
"Gallery of sovereign state flags","List_of_countries"
"List of countries and capitals in native languages","List_of_countries"
"List of national capitals in alphabetical order","List_of_countries"
"List of country-name etymologies","List_of_countries"
"List of dependent territories","List_of_countries"
"List of international rankings","List_of_countries"
"List of ISO 3166 country codes","List_of_countries"
"List of micronations","List_of_countries"
"List of rebel groups that control territory","List_of_countries"
"List of states with limited recognition","List_of_countries"
"List of territorial disputes","List_of_countries"
"Sovereign state","List_of_countries"
"List of former sovereign states","List_of_countries"
"List of sovereign states and dependent territories by continent","List_of_countries"
"List of sovereign states by date of formation","List_of_countries"
"Lists of sovereign states by year","List_of_countries"
"List of administrative divisions by country","List_of_countries"
"Member states of the United Nations","List_of_countries"
"Template:Clickable world map","List_of_countries"
"Terra nullius","List_of_countries"
"federal structure","List_of_countries"
"Africa","List_of_countries"
"Antarctica","List_of_countries"
"Asia","List_of_countries"
"Europe","List_of_countries"
"North America","List_of_countries"
"Oceania","List_of_countries"
"South America","List_of_countries"
"Americas","List_of_countries"
"Eurasia","List_of_countries"
"List of island countries","List_of_countries"
"Armenia","List_of_countries"
"relations","List_of_countries"
"China","List_of_countries"
"relations","List_of_countries"
"Cyprus","List_of_countries"
"relations","List_of_countries"
"Israel","List_of_countries"
"recognition","List_of_countries"
"relations","List_of_countries"
"North Korea","List_of_countries"
"relations","List_of_countries"
"South Korea","List_of_countries"
"relations","List_of_countries"
"Palestine","List_of_countries"
"recognition","List_of_countries"
"relations","List_of_countries"
"Abkhazia","List_of_countries"
"recognition","List_of_countries"
"relations","List_of_countries"
"Kosovo","List_of_countries"
"recognition","List_of_countries"
"relations","List_of_countries"
"Northern Cyprus","List_of_countries"
"relations","List_of_countries"
"Sahrawi Arab Democratic Republic","List_of_countries"
"recognition","List_of_countries"
"relations","List_of_countries"
"South Ossetia","List_of_countries"
"recognition","List_of_countries"
"relations","List_of_countries"
"Taiwan","List_of_countries"
"relations","List_of_countries"
"Artsakh","List_of_countries"
"recognition","List_of_countries"
"relations","List_of_countries"
"Transnistria","List_of_countries"
"recognition","List_of_countries"
"relations","List_of_countries"
"Somaliland","List_of_countries"
"relations","List_of_countries"
"Lists of countries","List_of_countries"
