"Joba Chamberlain","List_of_people_from_Nebraska"
"Crazy Horse","List_of_people_from_Nebraska"
"Angel De Cora","List_of_people_from_Nebraska"
"Chief Waukon Decorah","List_of_people_from_Nebraska"
"He Dog","List_of_people_from_Nebraska"
"Hononegah","List_of_people_from_Nebraska"
"Francis La Flesche","List_of_people_from_Nebraska"
"Susan La Flesche Picotte","List_of_people_from_Nebraska"
"Susette LaFlesche Tibbles","List_of_people_from_Nebraska"
"Little Hawk","List_of_people_from_Nebraska"
"Mountain Wolf Woman","List_of_people_from_Nebraska"
"Red Bird","List_of_people_from_Nebraska"
"Red Cloud","List_of_people_from_Nebraska"
"Mitchell Red Cloud Jr.","List_of_people_from_Nebraska"
"Chief Standing Bear","List_of_people_from_Nebraska"
"John Trudell","List_of_people_from_Nebraska"
"Yellow Thunder","List_of_people_from_Nebraska"
"Kim Winona","List_of_people_from_Nebraska"
"Raymond Yellow Thunder","List_of_people_from_Nebraska"
"James Young Deer","List_of_people_from_Nebraska"
"Frank Aloysius Barrett","List_of_people_from_Nebraska"
"Herbert Brownell Jr.","List_of_people_from_Nebraska"
"William Jennings Bryan","List_of_people_from_Nebraska"
"Hugh A. Butler","List_of_people_from_Nebraska"
"James Vincenzo Capone","List_of_people_from_Nebraska"
"Ernie Chambers","List_of_people_from_Nebraska"
"Dick Cheney","List_of_people_from_Nebraska"
"George E. Cryer","List_of_people_from_Nebraska"
"Glenn Cunningham","List_of_people_from_Nebraska"
"Carl Curtis","List_of_people_from_Nebraska"
"Samuel Gordon Daily","List_of_people_from_Nebraska"
"Robert Vernon Denney","List_of_people_from_Nebraska"
"Jane English","List_of_people_from_Nebraska"
"J. James Exon","List_of_people_from_Nebraska"
"Gerald Ford","List_of_people_from_Nebraska"
"Dwight Griswold","List_of_people_from_Nebraska"
"Chuck Hagel","List_of_people_from_Nebraska"
"Robert Dinsmore Harrison","List_of_people_from_Nebraska"
"Edgar Howard","List_of_people_from_Nebraska"
"Bob Kerrey","List_of_people_from_Nebraska"
"Julius Sterling Morton","List_of_people_from_Nebraska"
"Kay A. Orr","List_of_people_from_Nebraska"
"Pete Peterson","List_of_people_from_Nebraska"
"Peter George Peterson","List_of_people_from_Nebraska"
"Donald Pike","List_of_people_from_Nebraska"
"Leo Ryan","List_of_people_from_Nebraska"
"Ted Sorensen","List_of_people_from_Nebraska"
"Charles Thone","List_of_people_from_Nebraska"
"Kenneth S. Wherry","List_of_people_from_Nebraska"
"Buffalo Bill Cody","List_of_people_from_Nebraska"
"Alfred Gruenther","List_of_people_from_Nebraska"
"Galen B. Jackman","List_of_people_from_Nebraska"
"Bob Kerrey","List_of_people_from_Nebraska"
"Francis P. Matthews","List_of_people_from_Nebraska"
"Butler B. Miltonberger","List_of_people_from_Nebraska"
"Jarvis Offutt","List_of_people_from_Nebraska"
"John J. Pershing","List_of_people_from_Nebraska"
"Forrest S. Petersen","List_of_people_from_Nebraska"
"James G. Roudebush","List_of_people_from_Nebraska"
"Albert Coady Wedemeyer","List_of_people_from_Nebraska"
"Wesley Addy","List_of_people_from_Nebraska"
"Adele Astaire","List_of_people_from_Nebraska"
"Fred Astaire","List_of_people_from_Nebraska"
"Pamela Austin","List_of_people_from_Nebraska"
"Ray Baker","List_of_people_from_Nebraska"
"John Beasley","List_of_people_from_Nebraska"
"Michael Biehn","List_of_people_from_Nebraska"
"Moon Bloodgood","List_of_people_from_Nebraska"
"Ward Bond","List_of_people_from_Nebraska"
"Marlon Brando","List_of_people_from_Nebraska"
"Justin Bruening","List_of_people_from_Nebraska"
"Montgomery Clift","List_of_people_from_Nebraska"
"Abbie Cobb","List_of_people_from_Nebraska"
"James Coburn","List_of_people_from_Nebraska"
"James M. Connor","List_of_people_from_Nebraska"
"Lucas Cruikshank","List_of_people_from_Nebraska"
"Sandy Dennis","List_of_people_from_Nebraska"
"David Doyle","List_of_people_from_Nebraska"
"Mary Doyle","List_of_people_from_Nebraska"
"Christopher B. Duncan","List_of_people_from_Nebraska"
"Leslie Easterbrook","List_of_people_from_Nebraska"
"Ruth Etting","List_of_people_from_Nebraska"
"Jim Fitzpatrick","List_of_people_from_Nebraska"
"Henry Fonda","List_of_people_from_Nebraska"
"Hoot Gibson","List_of_people_from_Nebraska"
"Randy J. Goodwin","List_of_people_from_Nebraska"
"Ashley Graham","List_of_people_from_Nebraska"
"Coleen Gray","List_of_people_from_Nebraska"
"Bryan Greenberg","List_of_people_from_Nebraska"
"Leland Hayward","List_of_people_from_Nebraska"
"Jean Heather","List_of_people_from_Nebraska"
"Marg Helgenberger","List_of_people_from_Nebraska"
"Brad William Henke","List_of_people_from_Nebraska"
"Hallee Hirsh","List_of_people_from_Nebraska"
"Virginia Huston","List_of_people_from_Nebraska"
"David Janssen","List_of_people_from_Nebraska"
"Jay Karnes","List_of_people_from_Nebraska"
"Jaime King","List_of_people_from_Nebraska"
"Emily Kinney","List_of_people_from_Nebraska"
"Swoosie Kurtz","List_of_people_from_Nebraska"
"Bill Lee","List_of_people_from_Nebraska"
"Harold Lloyd","List_of_people_from_Nebraska"
"Pierce Lyden","List_of_people_from_Nebraska"
"Gordon MacRae","List_of_people_from_Nebraska"
"Irish McCalla","List_of_people_from_Nebraska"
"Holt McCallany","List_of_people_from_Nebraska"
"Dorothy McGuire","List_of_people_from_Nebraska"
"Fred Niblo","List_of_people_from_Nebraska"
"Nick Nolte","List_of_people_from_Nebraska"
"Alexander Payne","List_of_people_from_Nebraska"
"Lenka Peterson","List_of_people_from_Nebraska"
"Scott Porter","List_of_people_from_Nebraska"
"Anne Ramsey","List_of_people_from_Nebraska"
"Thurl Ravenscroft","List_of_people_from_Nebraska"
"Julie Sommars","List_of_people_from_Nebraska"
"Rebecca Staab","List_of_people_from_Nebraska"
"Hilary Swank","List_of_people_from_Nebraska"
"Inga Swenson","List_of_people_from_Nebraska"
"Robert Taylor","List_of_people_from_Nebraska"
"Janine Turner","List_of_people_from_Nebraska"
"John Trudell","List_of_people_from_Nebraska"
