"Chester A. Arthur (1829–1886), 20th Vice President and 21st President of the United States — Schenectady
"Martin Van Buren (1782–1862), 8th Vice President and 8th President of the United States — Kinderhook
"Grover Cleveland (1837–1908), 22nd and 24th President of the United States — Fayetteville
"Millard Fillmore (1800–1874), 12th Vice President and 13th President of the United States — Moravia
"Theodore Roosevelt (1858–1919), 25th Vice President and 26th President of the United States — Manhattan
"Franklin D. Roosevelt (1883–1945), 32nd President of the United States — Hyde Park
"Donald Trump (born 1946), 45th President of the United States — Queens
"Aaron Burr (1756–1836), 3rd Vice President of the United States — Manhattan
"George Clinton (1739–1812), 4th Vice President of the United States — Little Britain
"Schuyler Colfax (1823–1885), 17th Vice President of the United States — Manhattan
"Levi P. Morton (1824–1920), 22nd Vice President of the United States — Albany
"Nelson Rockefeller (1908–1979), 41st Vice President of the United States — Albany
"James S. Sherman (1855–1912), 27th Vice President of the United States — Utica
"Daniel D. Tompkins (1774–1825), 6th Vice President of the United States — Scarsdale
"William A. Wheeler (1819–1887), 19th Vice President of the United States — Malone
"Andrew Cuomo, 56th Governor of New York
"Mario Cuomo, 52nd Governor of New York
"Howard Dean (born 1948), former Governor of Vermont (1991–2003), and 2004 Democratic candidate for president
"Thomas E. Dewey, 47th Governor of New York, Republican nominee for president in 1944 and 1948
"Charles Evans Hughes, 36th Governor of New York, Secretary of State, 11th Chief Justice of the United States and 1916 Republican presidential nominee
"John Jay (1745–1829), 1st Chief Justice of the United States, 2nd Governor of New York, and 8th President of the Continental Congress
"Horatio Seymour, 18th Governor of New York and 1868 Democratic presidential nominee
"Al Smith, 42nd Governor of New York and 1928 Democratic presidential candidate
"Samuel J. Tilden, 25th Governor of New York and 1876 Republican presidential candidate
"Barbara Boxer (born 1940), longtime California Senator (1993–2017) — New York City
"Hillary Clinton (born 1947), former U.S. Secretary of State (2009–2013), New York Senator (2000–2009), and former First Lady (1993–2000); 2016 Democratic nominee for president — Chappaqua
"Roscoe Conkling (1829–1888), New York Senator (1867–1881) and leader of the Stalwart faction of the Republican Party — Albany
"Al Franken (born 1951), Minnesota Senator (2009–2018) — New York City
"Kirsten Gillibrand (born 1966), New York Senator since 2009 — Albany
"Bob Menendez (born 1954), New Jersey Senator since 2006 — New York City
"Chris Murphy (born 1973), former Congressman (2007–2013) and current Connecticut Senator since 2013 — White Plains
"Bernie Sanders (born 1941), Vermont Senator since 2007, former Mayor of Burlington, Vermont (1981–1989), and 2016 Democratic presidential candidate — Brooklyn
"Chuck Schumer (born 1950), Democratic Leader of the United States Senate since 2017 and long-time New York Senator since 1999; cousin of comedian Amy Schumer — Brooklyn
"Robert F. Wagner (1877–1953), New York Senator (1927–1949) – Manhattan
"Parmenio Adams, sheriff and United States Congressman&#91;1&#93;
"Shirley Chisholm, Congresswoman and 1972 Democratic presidential candidate
"Dewitt Clinton, governor, built the Erie Canal
"J. J. Dewey (died 1891), territorial legislator in Minnesota&#91;2&#93;
"William H. Donaldson (born 1931), 27th Chairman of the U.S. Securities and Exchange Commission
"Geraldine Ferraro (1935–2011), New York Congresswoman and first female vice presidential candidate of a major political party in 1984
"Rudy Giuliani (born 1944), 107th Mayor of New York City (1994–2001)
"Alexander Hamilton (1757–1804), 1st United States Secretary of the Treasury
"Jack Kemp (1935–2009), former NFL Football player for the Buffalo Bills, Secretary of Housing under President George HW Bush, and 1996 Republican nominee for vice president under Bob Dole
"Caroline Kennedy (born 1957), former U.S. Ambassador to Japan (2013–2017), and daughter of former president John F. Kennedy and former First Lady Jackie Kennedy
"Ed Koch (1924–2013), 105th Mayor of New York City (1978–1989)
"Fiorello La Guardia (1882–1947), highly-acclaimed 99th Mayor of New York City (1934–1945)
"William Loeb, Jr., secretary to President Theodore Roosevelt
"Harvey Milk (1930–1978), first openly gay person to be elected public office in California
"William M. Tweed (1823–1878), known as "Boss" Tweed; Grand Sachem of Tammany Hall
"Jimmy Walker (1881–1946), flamboyant 97th Mayor of New York City (1926–1932) forced into resigning by the Seabury Commission
"Barbara Bush (1925–2018), First Lady of the United States
"Rose Cleveland (1846–1918), First Lady of the United States
"Abigail Fillmore (1798–1853), First Lady of the United States
"Mary Arthur McElroy (1841–1917), First Lady of the United States
"Elizabeth Monroe (1768–1830), First Lady of the United States
"Jacqueline Kennedy Onassis (1929–1994), First Lady of the United States
"Frances Folsom Cleveland Preston (1864–1947), First Lady of the United States
"Nancy Reagan (1921–2016), First Lady of the United States
"Eleanor Roosevelt (1884–1962), First Lady of the United States
"Julia Gardiner Tyler (1820–1889), First Lady of the United States
"Priscilla Cooper Tyler (1816–1889), First Lady of the United States
"Melania Trump (born 1970), First Lady of the United States
"Gia Allemand (1983–2013), actress
"Woody Allen (born 1935), actor, director and writer
"June Allyson (1917–2006), actress
"Tyler Alvarez (born 1997), actor
"Michael Angarano (born 1987), actor
"Diane Arbus (1923–1971), photographer
"Moisés Arias (born 1994), actor
"Alan Arkin (born 1934), actor
"Alison Arngrim (born 1962), actress, comedian
"Richmond Arquette (born 1963), actor
"Rosanna Arquette (born 1959), actress
"Jean Arthur (1900–1991), actress
"Jake T. Austin (born 1994), actor
"Lauren Bacall (1924–2014), actress
"Alec Baldwin (born 1958), actor, producer, comedian
"Daniel Baldwin (born 1960), actor, director, producer
"Stephen Baldwin (born 1966), actor, author, producer
"William Baldwin (born 1963), actor, producer, writer
"Lucille Ball (1911–1989), actress
"Anne Bancroft (1931–2005), actress
"Joseph Barbera (1911–2006), animator, producer, director
"Mikhail Baryshnikov (born 1948), ballet dancer
"Frances Bavier (1902–1989), actor
"Barbara Bel Geddes (1922–2005), actress
"William Bendix (1906–1964), actor
"Constance Bennett (1904–1965), actress
"Matt Bennett (born 1991), actor
"Yasmine Bleeth (born 1968), actress
"Corbin Bleu (born 1989), actor, model, singer-songwriter, dancer, and film producer, Chad Danforth from High School Musical
"Joan Blondell (1906–1979), actress
"Nikki Blonsky (born 1988), actress
"Ann Blyth (born 1928), actress
"Humphrey Bogart (1899–1957), actor
"Shirley Booth (1898–1992), actress
"Clara Bow (1905–1965), actress
"Abigail Breslin (born 1996), actress
"Spencer Breslin (born 1992), actor
"Matthew Broderick (born 1962), actor
"Adrien Brody (born 1973), actor
"Mel Brooks (born 1926), actor, producer, director
"Steve Buscemi (born 1957), actor, comedian, director
"Edd Byrnes (born 1933), actor
"James Caan (born 1940), actor
"James Cagney (1899–1986), actor
"Jeanne Cagney (1919–1984), actress
"William Cagney (1905–1988), actor
"Nestor Carbonell (born 1967), actor, director
"David Castro (born 1996), actor
"Raquel Castro (born 1994), actress, singer, songwriter
"Harrison Chad (born 1992), actor, voice actor
"Jeff Chandler (1918–1961), actor
"Chevy Chase (born 1943), actor, comedian
"Ruth Chatterton (1893–1961), actress
"James Coco (1930–1987), actor
"Claudette Colbert (1903–1996), actress
"Kevin Corrigan (born 1969), actor
"Billy Crudup (born 1968), actor
"Tom Cruise (born 1962), actor
"Jon Cryer (born 1965), actor, screenwriter, television director, and film producer
"Billy Crystal (born 1948), actor
"Kieran Culkin (born 1982), actor
"Macaulay Culkin (born 1980), actor; Home Alone
"Rory Culkin (born 1989), actor
"Tony Curtis (1925–2010), actor
"Alexandra Daddario (born 1986), actress
"Matthew Daddario (born 1987), actor
"Claire Danes (born 1979), actor
"Rodney Dangerfield (1921–2004), comedian, actor
"Marion Davies (1897–1961), actress
"Sammy Davis, Jr. (1925–1990), actor, singer
"Agnes de Mille (1905–1993), dancer, choreographer
"Robert De Niro (born 1943), actor
"Willy DeVille (1950–2009), singer
"Don Diamont (born 1962), actor
"Guillermo Diaz (born 1975), Cuban-American actor
"Vin Diesel (born 1967), actor, producer, director, and screenwriter
"Taye Diggs (born 1971), actor
"Matt Dillon (born 1964), actor
"Troy Donahue (1936–2001), actor
"Kether Donohue (born 1985), actress and singer
"Kirk Douglas (born 1916), actor and father of Michael
"Michael Douglas (born 1944), actor, producer, and son of Kirk
"Robert Downey Jr. (born 1965), actor, Tony Stark from the Iron Man series
"Robert Downey Sr. (born 1936), actor, filmmaker, and father of Robert Jr.
"Fran Drescher (born 1957), actress
"Lena Dunham (born 1986), actress, filmmaker, writer.
"Jimmy Durante (1893–1980), entertainer, actor, singer, comedian
"Jesse Eisenberg (born 1983), actor
"Peter Falk (1927–2011), actor
"Alice Faye (1915–1998), actress
"Jane Fonda (born 1937), actress
"Spencer Fox (born 1993), actor
"James Gandolfini (1961–2013), actor and producer
"John Garfield (1913–1952), actor
"Ben Gazzara (1930–2012), actor
"Sarah Michelle Gellar (born 1977), actress
"Richard Genelle (1961–2008), actor
"Mel Gibson (born 1956), American-born Australian/Irish actor and filmmaker
"Jackie Gleason (1916–1987), actor
"Paulette Goddard (1910–1990), actress
"Whoopi Goldberg (born 1955), actress, comedian, and co-host of ABC's The View
"Cuba Gooding Jr. (born 1968), Academy Award-winning actor
"Elliott Gould (born 1938), actor
"Jennifer Grey (born 1960), actress
"Jason Griffith (born 1980), voice actor
"A. R. Gurney (born 1930), playwright
"Maggie Gyllenhaal (born 1977), actress
"Estelle Harris (born 1928), actress, voice actress, comedian
"Jonathan Harris (1914–2002), actor
"Hurd Hatfield (1917–1998), actor
"Anne Hathaway (born 1982), actress
"Susan Hayward (1917–1975), actress
"Rita Hayworth (1918–1987), actress
"Kathleen Herles (born 1990), voice actress
"Philip Seymour Hoffman (1967–2014), actor
"Judy Holliday (1921–1965), actress
"Whitney Houston (1963–2012), singer, actress, producer, and model
"Sarah Hyland (b. 1990), actress
"Skai Jackson (b. 2002), actress
"Rick Jason (1923–2000), actor
"Jason Harris Katz (born 1969), voice actor and television host
"Danny Kaye (1911–1987), actor, singer
"Jack Kelly (1927–1992), actor, born in Astoria, Queens
"Moira Kelly (born 1968), actress
"Wayne Knight (born 1955), actor, voice artist, comedian
"Ricki Lake (born 1968), actress, talk-show host
"Veronica Lake (1922–1973), actress
"Adam Lamberg (born 1984), actor
"Burt Lancaster (1913–1994), actor
"Michael Landon (1936–1991), actor
"Linda Larkin (born 1970), actress and voice actress
"Fredric Lebow (born 1956), screenwriter
"Peyton Elizabeth Lee (born 2004), actress
"Spike Lee (born 1957), director, producer
"Melissa Leo (born 1960), actress
"John Lithgow (born 1945), actor, comedian
"Aliana Lohan (born 1993), actress, singer and sister of actors Lindsay and Michael Lohan Jr.
"Lindsay Lohan (born 1986), actress, singer and sister of actors Ali and Michael Lohan Jr.
"Kristanna Loken (born 1979), actress
"Steele MacKaye (1842–1894), playwright, actor
"Vincent Martella (born 1992), actor
"Lee Marvin (1924–1987), actor
"James Maslow (born 1990), actor, singer, dancer
"Alanna Masterson (born 1988), actress
"Christopher Masterson (born 1980), actor
"Danny Masterson (born 1976), actor
"Walter Matthau (1920–2000), actor
"Al Matthews (1942–2018), actor and singer
"Julianna Rose Mauriello (born 1991), actress and dancer
"Eaddy Mays, actress
"Jesse McCartney (born 1987), actor, singer and songwriter
"Thomas McDonell (born 1986), actor
"Caleb McLaughlin (born 2001), actor
"Ethel Merman (1908–1984), actor, singer
"Lea Michele (born 1986), actress, singer
"Arthur Miller (1915–2005), playwright
"Robert Montgomery (1904–1981), actor
"Charlie Murphy (1959–2017), actor and comedian
"Chad Michael Murray (born 1981), actor
"Jack Nicholson (born 1937), actor and filmmaker
"Dylan O'Brien (born 1991), actor
"Cameron Ocasio (born 1999), actor
"Jerry O'Connell (born 1974), actor
"Eugene O'Neill (1888–1953), playwright
"Al Pacino (born 1940), actor
"Hayden Panettiere (born 1989), actress, model, singer
"Jansen Panettiere (born 1994), actor, voice actor
"Connor Paolo (born 1990), actor
"Corey Parker (born 1965), actor
"George A. Parkhurst (1841–1890), actor
"Josh Peck (born 1986), actor
"Amanda Peet (born 1972), actress and writer
"Nicola Peltz (born 1995), actress
"Will Peltz (born 1986), actor
"Anthony Perkins (1932–1992), actor
"Regis Philbin (born 1931), actor, singer, and television personality
"Priscilla Presley (born 1945), actress, business magnate
"Fátima Ptacek (born 2000), actress, voice actress
"Bill Pullman (born 1953), actor
"Mae Questel (1908–1998), actress
"George Raft (1895–1980), actor
"Gene Anthony Ray (1962–2003), actor
"Nancy Reagan (1921–2016), actress, former First Lady of the United States
"Alan Reed (1907–1977), actor and voice artist
"Christopher Reeve (1952–2004), actor
"Tara Reid (born 1975), actress
"Leah Remini (born 1970), actress
"Alfonso Ribeiro (born 1971), actor, television director, dancer, and television personality; host of America's Funniest Home Videos and season 19 winner of Dancing with the Stars
"Thelma Ritter (1902–1969), actress
"Emma Roberts (born 1991), actress, singer
"Edward G. Robinson (1893–1973), actor
"Ray Romano (born 1957), actor, comedian
"Saoirse Ronan (born 1994), American-born Irish actress
"Mickey Rooney (1920–2014), actor
"Emmy Rossum (born 1986), actress, singer and songwriter
"Mickey Rourke (born 1952), actor, screenwriter, and retired boxer
"Paul Rudd (born 1969), actor, comedian, writer, and producer
"Ernie Sabella (born 1949), actor and voice actor
"Zoe Saldana (born 1978), American-Dominican actress and dancer
"Ruben Santiago-Hudson (born 1956), actor and playwright
"Ben Schwartz (born 1981), actor, comedian and writer
"Martin Scorsese (born 1942), director
"George Segal (born 1934), actor
"Matthew Senreich (born 1974), screenwriter
"Charlie Sheen (born 1965), actor
"Sylvia Sidney (1910–1999), actress
"Christian Slater (born 1969), actor
"Jamil Walker Smith (born 1982), actor
"Kevin Spacey (born 1959), actor, film director, producer, screenwriter, and singer
"Sylvester Stallone (born 1946), actor, screenwriter, producer, and director
"Barbara Stanwyck (1907–1990), actor
"Rod Steiger (1925–2002), actor
"Howard Stern (born 1954), actor, radio and television personality, author, photographer
"Ben Stiller (born 1965), actor, comedian, and filmmaker
"Oliver Stone (born 1946), director
"Beatrice Straight (1914–2001), actress
"Meryl Streep (born 1949), Academy Award- and multiple Golden Globe-winning actress and singer
"David Strickland (1969–1999), actor
"Veronica Taylor (born 1978), voice actress
"Benj Thall (born 1978), actor
"Leon Thomas III (born 1993), actor
"Gene Tierney (1920–1991), actress
"Ashley Tisdale (born 1985), actress, singer, and producer, Sharpay Evans from High School Musical
"Michelle Trachtenberg (born 1985), actress
"Claire Trevor (1910–2000), actress
"John Turturro (born 1958), American-Italian actor, writer, and filmmaker
"Denzel Washington (born 1954), Academy Award-winning actor
"Kerry Washington (born 1977), actress
"Michael Weatherly (born 1968), actor and director
"Scott Weinger (born 1975), actor, voice actor, writer and producer
"Tuesday Weld (born 1943), actress
"Mae West (1893–1980), actor
"Kristen Wiig (born 1973), actress
"Olivia Wilde (born 1984), actress
"Tylen Jacob Williams (born 2001), actor
"Tyler James Williams (born 1992), actor
"Tyrel Jackson Williams (born 1997), actor
"Zelda Williams (born 1989), actress and daughter of late comedian and actor Robin Williams
"Lanford Wilson (1937–2011), playwright
"April Winchell (born 1960), actress
"Paul Winchell (1922–2005), actor and comedian
"Alex Wolff (born 1997), actor, musician and composer
"Nick Zano (born 1978), actor, Nate Heywood / Steel from DC's Legends of Tomorrow
"Pamela Adlon (born 1966), actress, voice actress, producer and director
"Carlos Alazraqui (born 1962), actor, comedian
"Woody Allen (born 1935), comedian, screenwriter, director, actor, author, playwright, musician
"Alec Baldwin (born 1958), actor, comedian, and producer
"Lucille Ball (1911–1989), comedian, actress
"Zach Braff (born 1975), actor, comedian, director, screenwriter, and producer
"Alyson Cambridge (born 1980), operatic soprano and classical music, jazz, and American popular song singer
"Michael Carbonaro (born 1982), actor magician
"George Carlin (1937–2008), comedian, actor
"Michael Cole (born 1968), WWE announcer
"Philip DeFranco (born 1985), YouTuber and video blogger
"Danny DeVito (born 1944), comedian, actor, producer, and director
"John DiMaggio (born 1968), actor, comedian
"Jimmy Fallon (born 1974), comedian, actor, television host
"Nika Futterman (born 1969), actress, voice actress, comedian and singer
"Curly Howard (1903–1952), comedian, vaudevillian actor, and member of The Three Stooges
"Moe Howard (1897–1975), actor, comedian, and member of The Three Stooges
"Kevin James (born 1965), comedian, actor, screenwriter, and producer
"JWoww (real name Jennifer Farley) (born 1986), reality television personality
"Tom Kenny (born 1962), actor, comedian
"Jimmy Kimmel (born 1967), comedian, producer, voice actor, musician, and television personality
"Jay Leno (born 1950), comedian, former host of The Tonight Show (1992–2014)
"Demetri Martin (born 1973), comedian
"Chico Marx (1887–1961), vaudeville comedian, with the Marx Brothers
"Groucho Marx (1890–1977), vaudeville comedian, with the Marx Brothers
"Gummo Marx (1892–1977), vaudeville comedian, with the Marx Brothers
"Harpo Marx (1888–1964), vaudeville comedian, with the Marx Brothers
"Zeppo Marx (1901–1979), vaudeville comedian, with the Marx Brothers
"Jackie Mason (born 1931), comedian and actor
"Kate McKinnon (born 1984), comedienne, actress, and voice actress
"Eddie Murphy (born 1961), comedian, actor, writer, singer, producer, and voice actor
"Rosie O'Donnell (born 1962), comedian, actress, television personality
"Jordan Peele (born 1979), comedian, actor, film director, and screenwriter
"Melissa Rauch (born 1980), comedian and actress
"Kevin Michael Richardson (born 1964), actor, voice actor
"Adam Richman, television personality
"Don Rickles (1926–2017), comedian
"Joan Rivers (1933–2014), actress, comedian
"Chris Rock (born 1965), comedian, actor
"Adam Sandler (born 1966), comedian, actor, screenwriter, film producer, and musician
"Adam Savage (born 1967), co-host of Mythbusters
"Amy Schumer (born 1981), Stand-up comedian and actress
"Jerry Seinfeld (born 1954), comedian, actor
"Judy Sheindlin (born 1942), lawyer, television personality (Judge Judy)
"Martha Stewart (born 1941), businesswoman, writer, chef, and television personality
"Jon Stewart (born 1962), comedian, actor, writer, producer, director, media critic, and television personality; former host of The Daily Show (1999–2015)
"Fred Tatasciore (born 1967), voice actor
"John Valby (born 1944), comedian, musician
"Aaliyah (1979–2001), singer, actress, model, dancer
"Christina Aguilera (born 1980), singer, songwriter, actress
"Vinnie Amico, drummer
"Fiona Apple (born 1977), singer
"Harold Arlen (1905–1986), composer
"Adrienne Bailon (born 1983), singer
"David Baker, singer
"Chris Barnes, musician
"Count Basie (1904–1984), jazz musician
"Bryan Bautista (born 1992), Dominican-American pop singer and contestant on NBC's The Voice season 9
"Jay Beckenstein (born 1951), saxophonist
"Pat Benatar (born 1953), singer
"Tony Bennett (born 1926), jazz singer
"Mary J. Blige (born 1971), singer, songwriter, actress
"Jon Bon Jovi (born 1962), singer-songwriter, record producer, philanthropist, and actor (Bon Jovi)
"Laura Branigan (1957–2004), singer
"Keith Buckley (born 1979), musician
"Clem Burke (born 1955), musician and drummer (Blondie)
"Maria Callas (1923–1977), opera singer
"Mariah Carey  (born 1970), pop and R&amp;B singer and songwriter
"Vanessa Carlton (born 1980), pop singer-songwriter
"Peter Case (born 1954), singer-songwriter
"Peter Cincotti (born 1983), singer, songwriter, pianist
"Coko (born 1973), singer (SWV)
"John Coltrane (1926–1967), jazz musician
"Aaron Copland (1900–1990), composer
"Warren Cuccurullo (born 1956), rock guitarist
"Vic Dana (born 1942), singer
"Dawin (full name Dawin Polanco) (born 1990), hip hop-R&amp;B singer/songwriter and record producer
"Blossom Dearie (1924–2009), jazz singer and pianist
"Lana Del Rey (born 1985), singer, songwriter
"Rob Derhak (born 1968), bass guitarist
"Lance Diamond, singer
"Neil Diamond (born 1941), singer, songwriter
"Ani DiFranco (born 1970), singer-songwriter
"Jonathan Donahue (born 1966), rock musician
"JoAnn Falletta (born 1954), classical guitarist, orchestral conductor
"Morton Feldman (1926–1987), composer
"Ella Fitzgerald (1918–1996), singer
"John Flansburgh (born 1960), singer-songwriter
"Brendan Fletcher (born 1990), pop singer-songwriter and contestant on NBC's The Voice season 11
"Lukas Foss (1922–2009), composer, orchestral conductor
"Sawyer Fredericks (born 1999), contemporary folk singer-songwriter, and winner of NBC's The Voice season 8
"Dave Fridmann, producer
"Lady Gaga (real name Stefani Germanotta) (born 1986), singer and songwriter
"Art Garfunkel (born 1941), folk rock singer, poet, and actor (Simon and Garfunkel)
"Chuck Garvey, guitarist
"George Gershwin (1898–1937), composer
"Kim Gordon (born 1953), bass guitarist, guitarist, singer, songwriter, visual artist (Sonic Youth)
"Lesley Gore (1946–2015), singer-songwriter, actress, and activist
"Andy Grammer (born 1983), singer-songwriter and record producer
"Grasshopper (born 1967), born Sean Mackowiak, rock musician
"Jim Hall (born 1930), jazz guitarist
"Debbie Harry (born 1945), singer-songwriter, actress, and lead singer of Blondie
"Alan Heatherington (born 1945), orchestral conductor
"Ray Henderson (1897–1970), songwriter
"Lauryn Hill (born 1975),  singer-songwriter, rapper, record producer, and actress
"Joel Hirschhorn (1938–2005), songwriter
"Billie Holiday (1915–1959), jazz and blues singer
"Lena Horne (1917–2010), singer, actress
"Freddie Jackson (born 1956), singer
"Rick James (1948–2004), singer
"Billy Joel (born 1949), pianist, singer and songwriter
"Joe Jonas (born 1989), singer-songwriter, actor, former member of The Jonas Brothers, brother of Nick, and current lead singer of DNCE
"Nick Jonas (born 1992), singer-songwriter, producer, actor, brother of Joe, and former member of The Jonas Brothers
"Jerome Kern (1885–1945), composer
"Alicia Keys (born 1981), singer-songwriter
"Carole King (born 1942), singer-songwriter
"Linda Király (born 1983), American-born Hungarian pop singer-songwriter and sister of Viktor
"Viktor Király (born 1984), American-born Hungarian pop singer and contestant on NBC's The Voice season 9
"Cyndi Lauper (born 1953), singer
"Jacquie Lee (born 1997), pop singer and contestant on NBC's The Voice season 5
"Mel Lewis (1929–1990), drummer
"John Linnell (born 1959), singer-songwriter
"Joe Locke (born 1959), jazz artist
"John Lombardo (born 1952), musician, songwriter
"Jennifer Lopez (born 1969), singer, actress, dancer
"David Lucas (born 1937), composer
"Gary Mallaber (born 1946), drummer
"Barry Manilow (born 1943), singer-songwriter, musician
"Constantine Maroulis (born 1975), singer
"Melanie Martinez (born 1995), singer, songwriter, music/video director
"Brian McKnight (born 1969), R&amp;B singer
"Don McLean (born 1945), singer
"Don Menza (born 1936), saxophonist
"Idina Menzel (born 1971), singer-songwriter, actress, and voice of Elsa in Frozen
"Natalie Merchant (born 1963), singer-songwriter
"Stephanie Mills (born 1957), singer
"Janelle Monáe (born 1985), musician, model, and actress
"Gurf Morlix, musician
"Josh Newton (born 1973), bassist
"Willie Nile (born 1948), singer-songwriter
"Laura Nyro (1947–1997), singer-songwriter
"Colby O'Donis (born 1989), pop-R&amp;B singer-songwriter, guitarist, producer, and actor
"Olivia (born 1981), R&amp;B singer known for contributing vocals to the 50 Cent song "Candy Shop"
"Jack Owen (born 1967), guitarist (Cannibal Corpse)
"Tina Parol, singer-songwriter
"Caroline Pennell (born 1996), singer-songwriter and contestant on NBC's The Voice season 5
"Alisan Porter (born 1981), retired actress, singer-songwriter, and winner of NBC's The Voice season 10
"Charlie Puth (born 1991), Pop singer-songwriter and record producer
"Joey Ramone (1951–2001), Punk rock singer-songwriter and musician (Ramones)
"Mary Ramsey (born 1963), musician
"Sharon Redd (1945–1992), singer
"Lou Reed (born 1942), singer, songwriter, guitarist
"Neil Rosenshein (born 1947), operatic singer, lyric tenor
"Kevin Rudolf (born 1983), Pop/indie rock singer, musician, and record producer
"Jason Sebastian Russo (born 1973), rock musician
"Justin Russo (born 1976), rock musician
"John Rzeznik (born 1965), musician (Goo Goo Dolls)
"Adam Schlesinger (born 1967), musician (Fountains of Wayne), songwriter, producer, arranger
"Al Schnier (born 1968), guitarist
"John Serry Sr. (1915–2003), concert accordionist, organist, composer, arranger, educator
"Billy Sheehan (born 1953), bass guitarist
"Paul Simon (born 1941), folk rock musician, guitarist, singer-songwriter, and actor (Simon and Garfunkel)
"Frank Sinatra (1915–1998), iconic jazz/pop singer, actor, and producer
"Lonnie Smith, jazz organist
"Ronnie Spector (born 1943), singer (The Ronettes)
"John Stevens (born 1987), singer
"Stevie J. (born Steve Jordan), musician
"Barbra Streisand (born 1942), singer, actress
"Stan Szelest (1943–1991), musician
"Robby Takac (born 1964), musician (Goo Goo Dolls)
"George Tutuska, musician (Goo Goo Dolls, Jackdaw)
"Steven Tyler (born 1948), Hard rock musician, singer-songwriter, multi-instrumentalist, former television music competition judge, and lead singer of the rock band Aerosmith
"Sal Valentinetti (born 1995), Italian-American jazz singer and contestant on America's Got Talent season 11
