"Lexi Ainsworth (born 1992), actress (General Hospital)
"Chet Allen (1928–2011), actor (The Troubleshooters)
"Erika Anderson (born 1963), actress
"Lou Antonio (born 1934), actor
"Suzy Amis (born 1962), actress
"Royce D. Applegate (1939–2003), actor (seaQuest DSV)
"Gene Autry (1907–1998), actor, musician, Major League Baseball team owner
"Nicki Aycox (born 1975), actress (Cold Case)
"Marshall Bell (born 1942), actor (G vs E)
"William Boyd (1895–1972), actor (Hopalong Cassidy)
"Gary Busey (born 1944), actor (The Buddy Holly Story)
"T. V. Carpio (born 1981), actress, singer
"Irene Champlin (1931–1990), actress (Flash Gordon)
"Greyson Chance (born 1997), singer
"Lon Chaney Jr (1906–1973), actor (The Wolf Man, Of Mice and Men)
"Lonny Chapman (1920–2007), actor
"Maree Cheatham (born 1942), actress (Days of Our Lives)
"Kristin Chenoweth (born 1968), Tony Award-winning actress (Wicked)
"Danny Cooksey (born 1975), actor, voice actor (Diff'rent Strokes)
"Candy Clark (born 1947), actress (American Graffiti)
"Larry Clark (born 1943), filmmaker (Kids, Ken Park), photographer
"Patrick Cranshaw (1919–2005), actor (AfterMASH)
"Joan Crawford (1906–1977), Academy Award-winning actress
"Burr DeBenning (1936–2003), actor
"Michael Dolan (born 1965), actor
"Richard Erdman (born 1925), actor
"Blake Edwards (1922–2010), director, writer, producer, The Pink Panther, Breakfast at Tiffany's
"Glenda Farrell (1904–1971), actress (Torchy Blane)
"Kay Francis (1905–1968), actress
"James Garner (1928–2014), actor (The Rockford Files, Maverick, The Great Escape, The Notebook)
"Bill Hader (born 1978), actor, writer, comedian (SNL)
"Van Heflin (1908–1971), Academy Award-winning actor
"Mark Holton (born 1958), actor
"Darla Hood (1931–1979), actress (Darla from The Little Rascals), Leedey
"Clint Howard (born 1959), actor (brother of Ron Howard)
"Jean Speegle Howard (1927–2000), actress, mother of Ron Howard
"Rance Howard (born 1928), actor, father of Ron and Clint Howard
"Ron Howard (born 1954), director, producer, actor
"Ben Johnson (1918–1996), Academy Award-winning actor
"Jennifer Jones (1919–2009), actress (The Towering Inferno, Duel in the Sun)
"Olivia Jordan (born 1988), actress, beauty pageant winner
"Christian Kane (born 1974), actor, singer (Leverage)
