"James Burrill Angell","List_of_people_from_Rhode_Island"
"Glen Bowersock","List_of_people_from_Rhode_Island"
"David Carlin","List_of_people_from_Rhode_Island"
"Robert Carothers","List_of_people_from_Rhode_Island"
"Ronald Champagne","List_of_people_from_Rhode_Island"
"Sarah Doyle","List_of_people_from_Rhode_Island"
"Paula Fredriksen","List_of_people_from_Rhode_Island"
"Henry Giroux","List_of_people_from_Rhode_Island"
"Neil Lanctot","List_of_people_from_Rhode_Island"
"Francis Leo Lawrence","List_of_people_from_Rhode_Island"
"Edward T. Lewis","List_of_people_from_Rhode_Island"
"Helen Adelia Rowe Metcalf","List_of_people_from_Rhode_Island"
"Barry Mills","List_of_people_from_Rhode_Island"
"Salvatore D. Morgera","List_of_people_from_Rhode_Island"
"Wilfred Harold Munro","List_of_people_from_Rhode_Island"
"Richard Vangermeersch","List_of_people_from_Rhode_Island"
"Minton Warren","List_of_people_from_Rhode_Island"
"Zechariah Chafee","List_of_people_from_Rhode_Island"
"Elizabeth Buffum Chace","List_of_people_from_Rhode_Island"
"Abby Aldrich Rockefeller","List_of_people_from_Rhode_Island"
"Robert Ellis Smith","List_of_people_from_Rhode_Island"
"Marjorie van Vliet","List_of_people_from_Rhode_Island"
"Jacob M. Appel","List_of_people_from_Rhode_Island"
"John Noble Barlow","List_of_people_from_Rhode_Island"
"Lee Bontecou","List_of_people_from_Rhode_Island"
"George M. Cohan","List_of_people_from_Rhode_Island"
"Paul Di Filippo","List_of_people_from_Rhode_Island"
"Denise Duhamel","List_of_people_from_Rhode_Island"
"Judith Dupré","List_of_people_from_Rhode_Island"
"C. M. Eddy, Jr.","List_of_people_from_Rhode_Island"
"Jeanpaul Ferro","List_of_people_from_Rhode_Island"
"John Hawkes","List_of_people_from_Rhode_Island"
"Greta Hodgkinson","List_of_people_from_Rhode_Island"
"Ann Hood","List_of_people_from_Rhode_Island"
"Raymond Mathewson Hood","List_of_people_from_Rhode_Island"
"Galway Kinnell","List_of_people_from_Rhode_Island"
"Christopher La Farge","List_of_people_from_Rhode_Island"
"Jhumpa Lahiri","List_of_people_from_Rhode_Island"
"H. P. Lovecraft","List_of_people_from_Rhode_Island"
"Maxwell Mays","List_of_people_from_Rhode_Island"
"David Macaulay","List_of_people_from_Rhode_Island"
"Cormac McCarthy","List_of_people_from_Rhode_Island"
"Don McGregor","List_of_people_from_Rhode_Island"
"Edwin O'Connor","List_of_people_from_Rhode_Island"
"S.J. Perelman","List_of_people_from_Rhode_Island"
"Peter Pezzelli","List_of_people_from_Rhode_Island"
"David Plante","List_of_people_from_Rhode_Island"
"George Schuyler","List_of_people_from_Rhode_Island"
"Gilbert Stuart","List_of_people_from_Rhode_Island"
"Philemon Sturges","List_of_people_from_Rhode_Island"
