"Roy Acuff (1903–1992), musician; born in Maynardville
"Charlie Adams, drummer
"Lily Afshar, classical guitarist, University of Memphis music professor
"James Agee (1909–1955); Pulitzer Prize-winning novelist, screenwriter, poet, critic; born in Knoxville
"The Aldridge Sisters, singing duo on The Lawrence Welk Show (1977–1982)
"Jessi Alexander (born 1976), singer-songwriter; born in Jackson
"Lamar Alexander (born 1940), lawyer and U.S. Senator; born in Maryville
"Duane Allman (1946–1971), guitarist; born in Nashville
"Gregg Allman (born 1947), singer-songwriter, musician; born in Nashville
"Jarrod Alonge (born 1993), comedian and musician; lives in Chattanooga
"Monroe Dunaway Anderson, banker, cotton trader; from Jackson
"William R. Anderson (1921–2007), naval officer, politician; born in Humphreys County
"Jessica Andrews (born 1983), singer
"Jill Andrews, singer-songwriter, musician, born in Johnson City
"Lil Hardin Armstrong, jazz musician, wife of Louis Armstrong; from Memphis
"Eddy Arnold (1918–2008), singer; born in Henderson
"Victor Ashe, Knoxville mayor, Ambassador to Poland; born in Knoxville
"Chet Atkins (1924–2001), guitarist and record producer; born in Luttrell
"Doug Atkins (born 1930), Pro Football Hall of Fame defensive end primarily with Chicago Bears
"Rodney Atkins (born 1969), singer; born in Knoxville
"DeFord Bailey (1897–1982), musician, Grand Ole Opry performer; from Smith County
"Howard Baker (born 1925), politician, U.S. Senator and White House Chief of Staff; born in Huntsville
"Robert Baker (born 1979), actor; born in Memphis
"Nathan L. Bachman (1878–1937), U.S. Senator
"Ed Bailey (1931–2007), baseball player
"Kelsea Ballerini (born 1993), singer; born in Mascot, grew up in Knoxville
"George Franklin Barber (1854–1915), architect; lived in Knoxville
"Ronnie Barrett (born 1954), firearms manufacturer; born in Murfreesboro
"Ross Bass (1918–1993), U.S. Senator
"William M. Bass (born 1928), forensic anthropologist
"William B. Bate (1826–1905), governor and U.S. Senator
"Daren Bates (born 1990), football player; born in Memphis
"Kathy Bates (born 1948), Academy Award-winning actress; born in Memphis
"Kate Batts (also known as The Bell Witch), mythic poltergeist
"Robin Beard (1939–2007), politician; born in Knoxville
"Casey Beathard, songwriter; from Spring Hill
"Brian Bell (born 1968), guitarist; from Knoxville
"John Bell (1796–1869), politician, Secretary of War under William Henry Harrison; from Mill Creek
"Bill Belichick (born 1952), head coach of New England Patriots; born in Nashville
"Jeff Bennett (born 1980), baseball pitcher; born in Donelson
"Aaron Benward (born 1973), singer
"Polly Bergen (born 1930), actress, singer, entrepreneur; born in Knoxville
"Steven Berk (born 1949), physician and author; lived in Johnson City
"George L. Berry (1882–1948), U.S. Senator
"Mookie Betts (born 1992), baseball player; born in Brentwood
"Greg Bird (born 1992), baseball player; born in Memphis
"Tarik Black, basketball player
"Joe Blanton (born 1980), baseball pitcher; born in Nashville
"Jerry Blevins (born 1983), baseball pitcher; born in Johnson City
"William Blount (1749–1800), statesman, governor and senator
"Willie Blount (1768–1835), early governor of Tennessee
"Julian Bond (1940–2015), activist, politician; born in Nashville
"Alexander Bonnyman, Jr. (1910–1943), decorated U.S. Marine; raised in Knoxville
"Arna W. Bontemps (1902–1973), poet and novelist
"Maci Bookout, reality-TV personality
"Pat Boone (born 1934), singer and actor; raised in Nashville
"Rachel Boston (born 1982), actress; born in Chattanooga
"Charles Boyce, syndicated cartoonist
"Craig Wayne Boyd (born 1978), singer, winner of NBC's The Voice season 7; resides in Nashville
"Richard Henry Boyd (1843–1922), founder, National Baptist Publishing Board
"Jarrett Boykin (born 1989), football player; born in Chattanooga
"Rod Brasfield (1910–1958), comedian
"Corey Brewer (born 1986), basketball player; from Portland
"Bill Brock (born 1930), U.S. Senator and U.S. Secretary of Labor
"Rex Brothers (born 1987), baseball player; born in Murfreesboro
"Clarence Brown (1890–1987), film director; attended school in Knoxville
"John C. Brown (1827–1889), governor
"Marlon Brown (born 1991), football player; born in Memphis
"Neill S. Brown (1810–1896), governor
"Gordon Browning (1889–1976), governor
"Jonathan Browning (1805–1879), maker of firearms; born in Sumner County
"William Gannaway Brownlow (1805–1877), editor and governor
"James M. Buchanan, economist, Nobel laureate
"John P. Buchanan (1847–1930), governor
"Josh Bullocks (born 1983), football player; born in Chattanooga
"Frances Hodgson Burnett (1849–1924), English-born author; settled near Knoxville
