"Augustus Chapman Allen","List_of_people_from_Texas"
"Stephen F. Austin","List_of_people_from_Texas"
"Padre José Nicolás Ballí","List_of_people_from_Texas"
"John Neely Bryan","List_of_people_from_Texas"
"Moses Austin Bryan","List_of_people_from_Texas"
"David G. Burnet","List_of_people_from_Texas"
"Prince Carl of Solms-Braunfels","List_of_people_from_Texas"
"Henri Castro","List_of_people_from_Texas"
"William Leslie Cazneau","List_of_people_from_Texas"
"Jesse Chisholm","List_of_people_from_Texas"
"Jao De La Porta","List_of_people_from_Texas"
"Green DeWitt","List_of_people_from_Texas"
"Susanna Dickinson","List_of_people_from_Texas"
"Johann Friedrich Ernst","List_of_people_from_Texas"
"Warren Angus Ferris","List_of_people_from_Texas"
"Henry Francis Fisher","List_of_people_from_Texas"
"Samuel Rhoads Fisher","List_of_people_from_Texas"
"Betty Holekamp","List_of_people_from_Texas"
"Sam Houston","List_of_people_from_Texas"
"Anson Jones","List_of_people_from_Texas"
"Mirabeau B. Lamar","List_of_people_from_Texas"
"Gideon Lincecum","List_of_people_from_Texas"
"Jane Herbert Wilkinson Long","List_of_people_from_Texas"
"Collin McKinney","List_of_people_from_Texas"
"John Henry Moore","List_of_people_from_Texas"
"Jose Antonio Navarro","List_of_people_from_Texas"
"Robert Neighbors","List_of_people_from_Texas"
"Cynthia Ann Parker","List_of_people_from_Texas"
"Daniel Parker","List_of_people_from_Texas"
"James W. Parker","List_of_people_from_Texas"
"John Parker","List_of_people_from_Texas"
"John Richard Parker","List_of_people_from_Texas"
"Emily Austin Perry","List_of_people_from_Texas"
"Elijah Sterling Clack Robertson","List_of_people_from_Texas"
"Sterling C. Robertson","List_of_people_from_Texas"
"Thomas Jefferson Rusk","List_of_people_from_Texas"
"Charles Schreiner, Sr.","List_of_people_from_Texas"
"Edwin Waller","List_of_people_from_Texas"
"Frank E. Wheelock","List_of_people_from_Texas"
"Lorenzo de Zavala","List_of_people_from_Texas"
"Richard Andrews","List_of_people_from_Texas"
"James Bowie","List_of_people_from_Texas"
"William Joel Bryan","List_of_people_from_Texas"
"Edward Burleson","List_of_people_from_Texas"
"John Coker","List_of_people_from_Texas"
"Davy Crockett","List_of_people_from_Texas"
"Almaron Dickinson","List_of_people_from_Texas"
"James Fannin","List_of_people_from_Texas"
"Thomas Green","List_of_people_from_Texas"
"Sam Houston","List_of_people_from_Texas"
"Henry Karnes","List_of_people_from_Texas"
"Robert J. Kleberg","List_of_people_from_Texas"
"Antonio Menchaca","List_of_people_from_Texas"
"Benjamin Milam","List_of_people_from_Texas"
"Emily West Morgan","List_of_people_from_Texas"
"Joel Walter Robison","List_of_people_from_Texas"
"Juan Seguín","List_of_people_from_Texas"
"John William Smith","List_of_people_from_Texas"
"Alfonso Steele","List_of_people_from_Texas"
"William B. Travis","List_of_people_from_Texas"
"Logan Vandeveer","List_of_people_from_Texas"
"William A. A. "Bigfoot" Wallace","List_of_people_from_Texas"
"John Baylor","List_of_people_from_Texas"
"John Henry Brown","List_of_people_from_Texas"
"Nicholas Henry Darnell","List_of_people_from_Texas"
"Dick Dowling","List_of_people_from_Texas"
"John "Rip" Ford","List_of_people_from_Texas"
"Milton M. Holland","List_of_people_from_Texas"
"John Bell Hood","List_of_people_from_Texas"
"Samuel Ealy Johnson Sr.","List_of_people_from_Texas"
"Albert Sidney Johnston","List_of_people_from_Texas"
"John J. Kennedy","List_of_people_from_Texas"
"John B. Magruder","List_of_people_from_Texas"
"Benjamin McCulloch","List_of_people_from_Texas"
"Henry Eustace McCulloch","List_of_people_from_Texas"
"William Henry Parsons","List_of_people_from_Texas"
"Felix Huston Robertson","List_of_people_from_Texas"
"Lawrence Sullivan "Sul" Ross","List_of_people_from_Texas"
"William Read Scurry","List_of_people_from_Texas"
"Pleasant Tackitt","List_of_people_from_Texas"
"Charles S. West","List_of_people_from_Texas"
"Louis T. Wigfall","List_of_people_from_Texas"
"Charles Gray Catto","List_of_people_from_Texas"
"Daniel R. Edwards","List_of_people_from_Texas"
"William S. Graves","List_of_people_from_Texas"
"David E. Hayden","List_of_people_from_Texas"
"Robert Lee Howze","List_of_people_from_Texas"
"Louis Jordan","List_of_people_from_Texas"
"William Thomas Ponder","List_of_people_from_Texas"
"Edgar Gardner Tobin","List_of_people_from_Texas"
"Harlon Block","List_of_people_from_Texas"
"Romus Burgin","List_of_people_from_Texas"
"Charles P. Cabell","List_of_people_from_Texas"
"Horace S. Carswell Jr.","List_of_people_from_Texas"
"Claire Chennault","List_of_people_from_Texas"
"Robert G. Cole","List_of_people_from_Texas"
"Samuel David Dealey","List_of_people_from_Texas"
"Ira C. Eaker","List_of_people_from_Texas"
"Calvin Graham","List_of_people_from_Texas"
"Dean E. Hallmark","List_of_people_from_Texas"
"David Lee "Tex" Hill","List_of_people_from_Texas"
"Oveta Culp Hobby","List_of_people_from_Texas"
"James L. Holloway Jr.","List_of_people_from_Texas"
"Neel E. Kearby","List_of_people_from_Texas"
"Raymond L. Knight","List_of_people_from_Texas"
"Turney W. Leonard","List_of_people_from_Texas"
"Felix Z. Longoria Jr.","List_of_people_from_Texas"
"Glenn McDuffie","List_of_people_from_Texas"
"Doris Miller","List_of_people_from_Texas"
"Audie Murphy","List_of_people_from_Texas"
"Chester Nimitz","List_of_people_from_Texas"
"Richard Arvin Overton","List_of_people_from_Texas"
"Bruce Palmer Jr.","List_of_people_from_Texas"
"John L. Pierce","List_of_people_from_Texas"
"James Earl Rudder","List_of_people_from_Texas"
"William H. Simpson","List_of_people_from_Texas"
"Wilburn Snyder","List_of_people_from_Texas"
"Lucian K. Truscott","List_of_people_from_Texas"
"Edwin Walker","List_of_people_from_Texas"
"Walton Walker","List_of_people_from_Texas"
"Charles F. Pendleton","List_of_people_from_Texas"
"Oliver P. Smith","List_of_people_from_Texas"
"Edwin Walker","List_of_people_from_Texas"
"Walton Walker","List_of_people_from_Texas"
"Raul (Roy) Perez Benavidez","List_of_people_from_Texas"
"Alfredo Cantu Gonzalez","List_of_people_from_Texas"
"David H. McNerney","List_of_people_from_Texas"
"Oliver North","List_of_people_from_Texas"
"Chester M. Ovnand","List_of_people_from_Texas"
"Bruce Palmer Jr.","List_of_people_from_Texas"
"Alfred M. Wilson","List_of_people_from_Texas"
"Marcus Luttrell","List_of_people_from_Texas"
"William H. McRaven","List_of_people_from_Texas"
"Patrick M. Walsh","List_of_people_from_Texas"
"Billy Waugh","List_of_people_from_Texas"
"Chris Kyle","List_of_people_from_Texas"
"Kristian Menchaca","List_of_people_from_Texas"
"Michael L. Oates","List_of_people_from_Texas"
"Bobby Ray Inman","List_of_people_from_Texas"
"Alfred Valenzuela","List_of_people_from_Texas"
"Greg Abbott","List_of_people_from_Texas"
"Malouf Abraham, Sr.","List_of_people_from_Texas"
"Cathie Adams","List_of_people_from_Texas"
"Fred Agnich","List_of_people_from_Texas"
"Elsa Alcala","List_of_people_from_Texas"
"Elizabeth Alexander","List_of_people_from_Texas"
"Bruce Alger","List_of_people_from_Texas"
"Joseph Hugh Allen","List_of_people_from_Texas"
"Rodney Anderson","List_of_people_from_Texas"
"Betty Andujar","List_of_people_from_Texas"
"Ernest Angelo","List_of_people_from_Texas"
"Bob Armstrong","List_of_people_from_Texas"
"Trent Ashby","List_of_people_from_Texas"
"Roy Alvin Baldwin","List_of_people_from_Texas"
"Ben F. Barnes","List_of_people_from_Texas"
"Ray Barnhart","List_of_people_from_Texas"
"Decimus et Ultimus Barziza","List_of_people_from_Texas"
"Roy Bass","List_of_people_from_Texas"
"Robert Emmett Bledsoe Baylor","List_of_people_from_Texas"
"Tina Benkiser","List_of_people_from_Texas"
"Lloyd Bentsen","List_of_people_from_Texas"
"David Berchelmann","List_of_people_from_Texas"
"Leo Berman","List_of_people_from_Texas"
"Nandita Berry","List_of_people_from_Texas"
"Paul Bettencourt","List_of_people_from_Texas"
"Teel Bivins","List_of_people_from_Texas"
"William H. Bledsoe","List_of_people_from_Texas"
"Bill Blythe","List_of_people_from_Texas"
"Robert Lee Bobbitt","List_of_people_from_Texas"
"Elton Bomer","List_of_people_from_Texas"
"Henry Bonilla","List_of_people_from_Texas"
"Dennis Bonnen","List_of_people_from_Texas"
"Greg Bonnen","List_of_people_from_Texas"
"Charles Robert Borchers","List_of_people_from_Texas"
"Jeffrey S. Boyd","List_of_people_from_Texas"
"Wally Brewster","List_of_people_from_Texas"
"John A. Brieden III","List_of_people_from_Texas"
"Stephen Broden","List_of_people_from_Texas"
"J. E. "Buster" Brown","List_of_people_from_Texas"
"Louis H. Bruni","List_of_people_from_Texas"
"Esther Buckley","List_of_people_from_Texas"
"Orville Bullington","List_of_people_from_Texas"
"Cindy Burkett","List_of_people_from_Texas"
"Albert S. Burleson","List_of_people_from_Texas"
"Edward Burleson","List_of_people_from_Texas"
"DeWayne Burns","List_of_people_from_Texas"
"Joel Burns","List_of_people_from_Texas"
"Konni Burton","List_of_people_from_Texas"
"Jeb Bush","List_of_people_from_Texas"
"George C. Butte","List_of_people_from_Texas"
"Angie Chen Button","List_of_people_from_Texas"
"Frank Kell Cahoon","List_of_people_from_Texas"
"Briscoe Cain","List_of_people_from_Texas"
"Erwin Cain","List_of_people_from_Texas"
"Bill Callegari","List_of_people_from_Texas"
"Donna Campbell","List_of_people_from_Texas"
"Francisco Canseco","List_of_people_from_Texas"
"Kent Caperton","List_of_people_from_Texas"
"John Carona","List_of_people_from_Texas"
"Victor G. Carrillo","List_of_people_from_Texas"
"Stefani Carter","List_of_people_from_Texas"
"Carlos Cascos","List_of_people_from_Texas"
"Carter Casteel","List_of_people_from_Texas"
"Phil Cates","List_of_people_from_Texas"
"Henry E. Catto, Jr.","List_of_people_from_Texas"
"Lauro Cavazos","List_of_people_from_Texas"
"Francis Cherry","List_of_people_from_Texas"
"Richard M. Chitwood","List_of_people_from_Texas"
"Wayne Christian","List_of_people_from_Texas"
"Henry Cisneros","List_of_people_from_Texas"
"Ronald H. Clark","List_of_people_from_Texas"
"Tom C. Clark","List_of_people_from_Texas"
"David Cobb","List_of_people_from_Texas"
"Cathy Cochran","List_of_people_from_Texas"
"Susan Combs","List_of_people_from_Texas"
"John B. Connally, Jr.","List_of_people_from_Texas"
"Wayne Connally","List_of_people_from_Texas"
"Kilmer B. Corbin","List_of_people_from_Texas"
"John Cornyn","List_of_people_from_Texas"
"Frank Corte, Jr.","List_of_people_from_Texas"
"Tom Craddick","List_of_people_from_Texas"
"Juanita Craft","List_of_people_from_Texas"
"Brandon Creighton","List_of_people_from_Texas"
"Ted Cruz","List_of_people_from_Texas"
"Henry Cuellar","List_of_people_from_Texas"
"John Cyrier","List_of_people_from_Texas"
"Tony Dale","List_of_people_from_Texas"
"Price Daniel","List_of_people_from_Texas"
"Nicholas Henry Darnell","List_of_people_from_Texas"
"John E. Davis","List_of_people_from_Texas"
"Wendy Davis","List_of_people_from_Texas"
"Jay Dean","List_of_people_from_Texas"
"David Dewhurst","List_of_people_from_Texas"
"Robert Eckels","List_of_people_from_Texas"
"Paul Eggers","List_of_people_from_Texas"
"Gary Elkins","List_of_people_from_Texas"
"Ed Emmett","List_of_people_from_Texas"
"Pat Fallon","List_of_people_from_Texas"
"David Farabee","List_of_people_from_Texas"
"Ray Farabee","List_of_people_from_Texas"
"Marsha Farney","List_of_people_from_Texas"
"James E. "Pa" Ferguson","List_of_people_from_Texas"
"Miriam "Ma" Ferguson","List_of_people_from_Texas"
"Mindy Finn","List_of_people_from_Texas"
"Allen Fletcher","List_of_people_from_Texas"
"Charles R. Floyd","List_of_people_from_Texas"
"Dan Flynn","List_of_people_from_Texas"
"Marshall Formby","List_of_people_from_Texas"
"John Richard Fowler","List_of_people_from_Texas"
"James Frank","List_of_people_from_Texas"
"John Frullo","List_of_people_from_Texas"
"Rick Galindo","List_of_people_from_Texas"
"Pete Gallego","List_of_people_from_Texas"
"H. S. "Buddy" Garcia","List_of_people_from_Texas"
"Julio A. Garcia","List_of_people_from_Texas"
"John Nance Garner","List_of_people_from_Texas"
"Tony Garza","List_of_people_from_Texas"
"Kenn George","List_of_people_from_Texas"
"Charlie Geren","List_of_people_from_Texas"
"Pete Geren","List_of_people_from_Texas"
"Ron Givens","List_of_people_from_Texas"
