"Bert Abbey","List_of_people_from_Vermont"
"Charles Francis Adams","List_of_people_from_Vermont"
"Charles Kendall Adams","List_of_people_from_Vermont"
"Frederick W. Adams","List_of_people_from_Vermont"
"Sherman Adams","List_of_people_from_Vermont"
"Eric Aho","List_of_people_from_Vermont"
"Charles Augustus Aiken","List_of_people_from_Vermont"
"George Aiken","List_of_people_from_Vermont"
"Ivan Albright","List_of_people_from_Vermont"
"Henry Mills Alden","List_of_people_from_Vermont"
"Ebenezer Allen","List_of_people_from_Vermont"
"Ethan Allen","List_of_people_from_Vermont"
"Fanny Allen","List_of_people_from_Vermont"
"Ira Allen","List_of_people_from_Vermont"
"Jerome Allen","List_of_people_from_Vermont"
"Julia Alvarez","List_of_people_from_Vermont"
"Trey Anastasio","List_of_people_from_Vermont"
"Piers Anthony","List_of_people_from_Vermont"
"Lemuel H. Arnold","List_of_people_from_Vermont"
"Chester A. Arthur","List_of_people_from_Vermont"
"Warren Austin","List_of_people_from_Vermont"
"Charlotte Ayanna","List_of_people_from_Vermont"
"Mary Azarian","List_of_people_from_Vermont"
"Orville E. Babcock","List_of_people_from_Vermont"
"Edwin Eugene Bagley","List_of_people_from_Vermont"
"Maxine Bahns","List_of_people_from_Vermont"
"Arthur Scott Bailey","List_of_people_from_Vermont"
"Emma Bailey","List_of_people_from_Vermont"
"Brad Baker","List_of_people_from_Vermont"
"David Ball","List_of_people_from_Vermont"
"Hosea Ballou","List_of_people_from_Vermont"
"Bradley Barlow","List_of_people_from_Vermont"
"John Barrett","List_of_people_from_Vermont"
"John S. Barry","List_of_people_from_Vermont"
"John L. Barstow","List_of_people_from_Vermont"
"Daric Barton","List_of_people_from_Vermont"
"Lindon Wallace Bates","List_of_people_from_Vermont"
"Portus Baxter","List_of_people_from_Vermont"
"Fernando C. Beaman","List_of_people_from_Vermont"
"Orson Bean","List_of_people_from_Vermont"
"Alison Bechdel","List_of_people_from_Vermont"
"Johnny Behan","List_of_people_from_Vermont"
"Hiram Bell","List_of_people_from_Vermont"
"H. H. Bennett","List_of_people_from_Vermont"
"Wilson "Snowflake" Bentley","List_of_people_from_Vermont"
"Bill W.","List_of_people_from_Vermont"
"Charles E. Billings","List_of_people_from_Vermont"
"Frederick H. Billings","List_of_people_from_Vermont"
"Stephen Bissette","List_of_people_from_Vermont"
"Pamela Blair","List_of_people_from_Vermont"
"George Bliss","List_of_people_from_Vermont"
"Lou Blonger","List_of_people_from_Vermont"
"Aretas Blood","List_of_people_from_Vermont"
"Asa P. Blunt","List_of_people_from_Vermont"
"Tom Bodett","List_of_people_from_Vermont"
"Chris Bohjalian","List_of_people_from_Vermont"
"Andrew Bowen","List_of_people_from_Vermont"
"Elmer Bowman","List_of_people_from_Vermont"
"Keegan Bradley","List_of_people_from_Vermont"
"Ezra Brainerd","List_of_people_from_Vermont"
"L. Paul Bremer","List_of_people_from_Vermont"
"Richard M. Brewer","List_of_people_from_Vermont"
"Francis Fisher Browne","List_of_people_from_Vermont"
"Orestes Brownson","List_of_people_from_Vermont"
"Pearl S. Buck","List_of_people_from_Vermont"
"T. Garry Buckley","List_of_people_from_Vermont"
"Ted Bundy","List_of_people_from_Vermont"
"James E. Burke","List_of_people_from_Vermont"
