"Frank Ackerman","List_of_people_from_Wisconsin"
"David Adler","List_of_people_from_Wisconsin"
"Kevin J. Anderson","List_of_people_from_Wisconsin"
"Rasmus B. Anderson","List_of_people_from_Wisconsin"
"Walter Annenberg","List_of_people_from_Wisconsin"
"Antler","List_of_people_from_Wisconsin"
"Ruth Ball","List_of_people_from_Wisconsin"
"Lynda Barry","List_of_people_from_Wisconsin"
"Gary Beecham","List_of_people_from_Wisconsin"
"George Bergstrom","List_of_people_from_Wisconsin"
"Norbert Blei","List_of_people_from_Wisconsin"
"Carrie Jacobs Bond","List_of_people_from_Wisconsin"
"Esther Bubley","List_of_people_from_Wisconsin"
"Nancy Ekholm Burkert","List_of_people_from_Wisconsin"
"Ole Amundsen Buslett","List_of_people_from_Wisconsin"
"Kathryn Casey","List_of_people_from_Wisconsin"
"Jessie Kalmbach Chase","List_of_people_from_Wisconsin"
"Connie Clausen","List_of_people_from_Wisconsin"
"Chester Commodore","List_of_people_from_Wisconsin"
"Jeremiah Curtin","List_of_people_from_Wisconsin"
"Tyler Dennett","List_of_people_from_Wisconsin"
"August Derleth","List_of_people_from_Wisconsin"
"Gene DeWeese","List_of_people_from_Wisconsin"
"Donn F. Draeger","List_of_people_from_Wisconsin"
"Chip Duncan","List_of_people_from_Wisconsin"
"Bill Dwyre","List_of_people_from_Wisconsin"
"Alter Esselin","List_of_people_from_Wisconsin"
"Edna Ferber","List_of_people_from_Wisconsin"
"Jack Finney","List_of_people_from_Wisconsin"
"Daniel R. Fitzpatrick","List_of_people_from_Wisconsin"
"Lewis R. Freeman","List_of_people_from_Wisconsin"
"Zona Gale","List_of_people_from_Wisconsin"
"Hamlin Garland","List_of_people_from_Wisconsin"
"Greg Graffin","List_of_people_from_Wisconsin"
"Elmer Grey","List_of_people_from_Wisconsin"
"E. Gary Gygax","List_of_people_from_Wisconsin"
"Jane Hamilton","List_of_people_from_Wisconsin"
"Stephen Hayes","List_of_people_from_Wisconsin"
"Kevin Henkes","List_of_people_from_Wisconsin"
"Eastman Johnson","List_of_people_from_Wisconsin"
"Russell Klika","List_of_people_from_Wisconsin"
"Jim Knipfel","List_of_people_from_Wisconsin"
"Ron Kovic","List_of_people_from_Wisconsin"
"David Lenz","List_of_people_from_Wisconsin"
"Gerda Lerner","List_of_people_from_Wisconsin"
"Paul Linebarger","List_of_people_from_Wisconsin"
"Per Lysne","List_of_people_from_Wisconsin"
"Karl E. Meyer","List_of_people_from_Wisconsin"
"Jacquelyn Mitchard","List_of_people_from_Wisconsin"
"John Nichols","List_of_people_from_Wisconsin"
"Lorine Niedecker","List_of_people_from_Wisconsin"
"Lucius W. Nieman","List_of_people_from_Wisconsin"
"Jessica Nelson North","List_of_people_from_Wisconsin"
"Sterling North","List_of_people_from_Wisconsin"
"Georgia O'Keeffe","List_of_people_from_Wisconsin"
"George Wilbur Peck","List_of_people_from_Wisconsin"
