"Julia Alvarez","List_of_people_from_the_Dominican_Republic"
"Arambilet","List_of_people_from_the_Dominican_Republic"
"Frank Báez","List_of_people_from_the_Dominican_Republic"
"Josefina Baez","List_of_people_from_the_Dominican_Republic"
"Rei Berroa","List_of_people_from_the_Dominican_Republic"
"Manuel del Cabral","List_of_people_from_the_Dominican_Republic"
"Aída Cartagena Portalatín","List_of_people_from_the_Dominican_Republic"
"Roberto Cassá","List_of_people_from_the_Dominican_Republic"
"Raquel Cepeda","List_of_people_from_the_Dominican_Republic"
"Tulio Manuel Cestero","List_of_people_from_the_Dominican_Republic"
"Hilma Contreras","List_of_people_from_the_Dominican_Republic"
"Angie Cruz","List_of_people_from_the_Dominican_Republic"
"Junot Díaz","List_of_people_from_the_Dominican_Republic"
"Judith Dupré","List_of_people_from_the_Dominican_Republic"
"Virginia Elena Ortea","List_of_people_from_the_Dominican_Republic"
"León Félix Batista","List_of_people_from_the_Dominican_Republic"
"Arturo Féliz-Camilo","List_of_people_from_the_Dominican_Republic"
"Fabio Fiallo","List_of_people_from_the_Dominican_Republic"
"Freddy Ginebra","List_of_people_from_the_Dominican_Republic"
"Cristino Gómez","List_of_people_from_the_Dominican_Republic"
"Chico Gonzalez","List_of_people_from_the_Dominican_Republic"
"José Luis González","List_of_people_from_the_Dominican_Republic"
"Pedro Henríquez Ureña","List_of_people_from_the_Dominican_Republic"
"Federico Henríquez y Carvajal","List_of_people_from_the_Dominican_Republic"
"Angela Hernández Nuñez","List_of_people_from_the_Dominican_Republic"
"Juan Isidro Jiménez Grullón","List_of_people_from_the_Dominican_Republic"
"Rita Indiana","List_of_people_from_the_Dominican_Republic"
"Mariano Lebrón Saviñón","List_of_people_from_the_Dominican_Republic"
"Marcio Veloz Maggiolo","List_of_people_from_the_Dominican_Republic"
"Andrés L. Mateo","List_of_people_from_the_Dominican_Republic"
"Félix Evaristo Mejía","List_of_people_from_the_Dominican_Republic"
"Miguel D. Mena","List_of_people_from_the_Dominican_Republic"
"Leopoldo Minaya","List_of_people_from_the_Dominican_Republic"
"Pedro Mir","List_of_people_from_the_Dominican_Republic"
"Domingo Moreno Jimenes","List_of_people_from_the_Dominican_Republic"
"Mateo Morrison","List_of_people_from_the_Dominican_Republic"
"José Núñez de Cáceres","List_of_people_from_the_Dominican_Republic"
"Arturo Rodríguez Fernández","List_of_people_from_the_Dominican_Republic"
"Mu-Kien Adriana Sang","List_of_people_from_the_Dominican_Republic"
"Rosa Silverio","List_of_people_from_the_Dominican_Republic"
"Alfredo Fernández Simó","List_of_people_from_the_Dominican_Republic"
"Salomé Ureña","List_of_people_from_the_Dominican_Republic"
"Jael Uribe","List_of_people_from_the_Dominican_Republic"
"Bernardo Vega","List_of_people_from_the_Dominican_Republic"
"Julio Vega Batlle","List_of_people_from_the_Dominican_Republic"
"Alanna Lockward","List_of_people_from_the_Dominican_Republic"
"Delia Weber","List_of_people_from_the_Dominican_Republic"
"Marcos Bisonó","List_of_people_from_the_Dominican_Republic"
"José Blanco","List_of_people_from_the_Dominican_Republic"
"Ligia Bonetti","List_of_people_from_the_Dominican_Republic"
"Manuel Díez Cabral","List_of_people_from_the_Dominican_Republic"
"Juan Cohen","List_of_people_from_the_Dominican_Republic"
"José Luis Corripio","List_of_people_from_the_Dominican_Republic"
"The Franjul Family","List_of_people_from_the_Dominican_Republic"
"Bartolomé Gamundi","List_of_people_from_the_Dominican_Republic"
"Manuel Alejandro Grullón","List_of_people_from_the_Dominican_Republic"
"José León Asensio","List_of_people_from_the_Dominican_Republic"
"Victor Miguel Pacheco Mendez","List_of_people_from_the_Dominican_Republic"
"Leo Perez Minaya","List_of_people_from_the_Dominican_Republic"
