"Johan Arnd Aasgaard","List_of_people_from_Minnesota"
"Walter Abel","List_of_people_from_Minnesota"
"Anthony Adducci","List_of_people_from_Minnesota"
"Peter Agre","List_of_people_from_Minnesota"
"Faysal Ahmed","List_of_people_from_Minnesota"
"Walden L. Ainsworth","List_of_people_from_Minnesota"
"Eddie Albert","List_of_people_from_Minnesota"
"Frank Albertson","List_of_people_from_Minnesota"
"Grady Alderman","List_of_people_from_Minnesota"
"Cole Aldrich","List_of_people_from_Minnesota"
"Cyrus Aldrich","List_of_people_from_Minnesota"
"John G. Alexander","List_of_people_from_Minnesota"
"Brother Ali (Ali Newman)","List_of_people_from_Minnesota"
"Beau Allen","List_of_people_from_Minnesota"
"Bob Allison","List_of_people_from_Minnesota"
"Luis Walter Alvarez","List_of_people_from_Minnesota"
"A. A. Ames","List_of_people_from_Minnesota"
"Elmer L. Andersen","List_of_people_from_Minnesota"
"Herman Carl Andersen","List_of_people_from_Minnesota"
"Morten Andersen","List_of_people_from_Minnesota"
"Alan Anderson","List_of_people_from_Minnesota"
"Barry Anderson","List_of_people_from_Minnesota"
"Brad Anderson","List_of_people_from_Minnesota"
"Clyde Elmer Anderson","List_of_people_from_Minnesota"
"Dan Anderson","List_of_people_from_Minnesota"
"Eugenie Anderson","List_of_people_from_Minnesota"
"Gary Anderson","List_of_people_from_Minnesota"
"Gene Anderson","List_of_people_from_Minnesota"
"Larry Anderson","List_of_people_from_Minnesota"
"Liz Anderson","List_of_people_from_Minnesota"
"Loni Anderson","List_of_people_from_Minnesota"
"Louie Anderson","List_of_people_from_Minnesota"
"Marc Anderson","List_of_people_from_Minnesota"
"Ole Anderson","List_of_people_from_Minnesota"
"Patricia Anderson","List_of_people_from_Minnesota"
"Paul Anderson","List_of_people_from_Minnesota"
"Richard Dean Anderson","List_of_people_from_Minnesota"
"Russell A. Anderson","List_of_people_from_Minnesota"
"Scott D. Anderson","List_of_people_from_Minnesota"
