"Helen Andelin","List_of_people_from_Missouri"
"Maya Angelou","List_of_people_from_Missouri"
"Thomas P. Barnett","List_of_people_from_Missouri"
"Thomas Hart Benton","List_of_people_from_Missouri"
"George Caleb Bingham","List_of_people_from_Missouri"
"Edward McKendree Bounds","List_of_people_from_Missouri"
"Mark Bowden","List_of_people_from_Missouri"
"William S. Burroughs","List_of_people_from_Missouri"
"Kate Chopin","List_of_people_from_Missouri"
"Guy Anthony De Marco","List_of_people_from_Missouri"
"Lester Dent","List_of_people_from_Missouri"
"Michele Dunaway","List_of_people_from_Missouri"
"Suzette Haden Elgin","List_of_people_from_Missouri"
"T. S. Eliot","List_of_people_from_Missouri"
"Mary Engelbreit","List_of_people_from_Missouri"
"Michael Evans","List_of_people_from_Missouri"
"Eugene Field","List_of_people_from_Missouri"
"Gillian Flynn","List_of_people_from_Missouri"
"Martha Gellhorn","List_of_people_from_Missouri"
"Steve Gerber","List_of_people_from_Missouri"
"David L. Harrison","List_of_people_from_Missouri"
"William Least Heat-Moon","List_of_people_from_Missouri"
"Robert A. Heinlein","List_of_people_from_Missouri"
"Frederick Hibbard","List_of_people_from_Missouri"
"Langston Hughes","List_of_people_from_Missouri"
"William W. Johnstone","List_of_people_from_Missouri"
"Donald Judd","List_of_people_from_Missouri"
"Jim Lee","List_of_people_from_Missouri"
"David Limbaugh","List_of_people_from_Missouri"
"Bernarr Macfadden","List_of_people_from_Missouri"
"Dennis L. McKiernan","List_of_people_from_Missouri"
"Marianne Moore","List_of_people_from_Missouri"
"Archie Musick","List_of_people_from_Missouri"
"John R. Musick","List_of_people_from_Missouri"
"Ruth Ann Musick","List_of_people_from_Missouri"
"H. Richard Niebuhr","List_of_people_from_Missouri"
"Reinhold Niebuhr","List_of_people_from_Missouri"
"John Ross","List_of_people_from_Missouri"
"Charles Marion Russell","List_of_people_from_Missouri"
"Clay Shirky","List_of_people_from_Missouri"
"Kimora Lee Simmons","List_of_people_from_Missouri"
"Sara Teasdale","List_of_people_from_Missouri"
"Kay Thompson","List_of_people_from_Missouri"
"Ernest Trova","List_of_people_from_Missouri"
"Margaret Truman","List_of_people_from_Missouri"
"Mark Twain","List_of_people_from_Missouri"
"Laura Ingalls Wilder","List_of_people_from_Missouri"
"Tennessee Williams","List_of_people_from_Missouri"
"Daniel Woodrell","List_of_people_from_Missouri"
"Paul Dana","List_of_people_from_Missouri"
"Lloyd Dane","List_of_people_from_Missouri"
"Russ Dugger","List_of_people_from_Missouri"
"Carl Edwards","List_of_people_from_Missouri"
"James Ince","List_of_people_from_Missouri"
"Justin Jennings","List_of_people_from_Missouri"
"Cody Lane","List_of_people_from_Missouri"
"Justin Marks","List_of_people_from_Missouri"
"Jamie McMurray","List_of_people_from_Missouri"
"Larry Phillips","List_of_people_from_Missouri"
"Tony Roper","List_of_people_from_Missouri"
"Ken Schrader","List_of_people_from_Missouri"
"Dorsey Schroeder","List_of_people_from_Missouri"
"Ramo Stott","List_of_people_from_Missouri"
"Chrissy Wallace","List_of_people_from_Missouri"
"Kenny Wallace","List_of_people_from_Missouri"
"Mike Wallace","List_of_people_from_Missouri"
"Rusty Wallace","List_of_people_from_Missouri"
"Bob Allison","List_of_people_from_Missouri"
"Jake Arrieta","List_of_people_from_Missouri"
"Alan Ashby","List_of_people_from_Missouri"
"George Baker","List_of_people_from_Missouri"
"Jake Beckley","List_of_people_from_Missouri"
"James "Cool Papa" Bell","List_of_people_from_Missouri"
"Yogi Berra","List_of_people_from_Missouri"
"Ken Berry","List_of_people_from_Missouri"
"Brian Boehringer","List_of_people_from_Missouri"
"Clete Boyer","List_of_people_from_Missouri"
"Ken Boyer","List_of_people_from_Missouri"
"Jack Brennan","List_of_people_from_Missouri"
"Harry Bright","List_of_people_from_Missouri"
"Mark Buehrle","List_of_people_from_Missouri"
"Bobby Byrne","List_of_people_from_Missouri"
"Scott Carroll","List_of_people_from_Missouri"
"Nate Colbert","List_of_people_from_Missouri"
"David Cone","List_of_people_from_Missouri"
"Joe Crede","List_of_people_from_Missouri"
"Bob Dernier","List_of_people_from_Missouri"
"Ross Detwiler","List_of_people_from_Missouri"
"Blake DeWitt","List_of_people_from_Missouri"
"John Donaldson","List_of_people_from_Missouri"
"Scott Elbert","List_of_people_from_Missouri"
"A. J. Ellis","List_of_people_from_Missouri"
"Hoot Evers","List_of_people_from_Missouri"
"David Freese","List_of_people_from_Missouri"
"Gabe Gabler","List_of_people_from_Missouri"
"Joe Garagiola, Sr.","List_of_people_from_Missouri"
"Jeff Gray","List_of_people_from_Missouri"
"Charlie Grimm","List_of_people_from_Missouri"
"Dick Hall","List_of_people_from_Missouri"
"Lucas Harrell","List_of_people_from_Missouri"
"Tom Henke","List_of_people_from_Missouri"
"Bobby Hofman","List_of_people_from_Missouri"
"Solly Hofman","List_of_people_from_Missouri"
"Al Hollingsworth","List_of_people_from_Missouri"
"Ken Holtzman","List_of_people_from_Missouri"
"Tommy Hottovy","List_of_people_from_Missouri"
"Elston Howard","List_of_people_from_Missouri"
"Ryan Howard","List_of_people_from_Missouri"
"Carl Hubbell","List_of_people_from_Missouri"
"Eric Hurley","List_of_people_from_Missouri"
"Ron Hunt","List_of_people_from_Missouri"
"Vern Kennedy","List_of_people_from_Missouri"
"Bob Keppel","List_of_people_from_Missouri"
"Charlie Kerfeld","List_of_people_from_Missouri"
"Johnny Kling","List_of_people_from_Missouri"
"Darold Knowles","List_of_people_from_Missouri"
"Ron Kulpa","List_of_people_from_Missouri"
"Tito Landrum","List_of_people_from_Missouri"
"Tommy Layne","List_of_people_from_Missouri"
"Sam LeCure","List_of_people_from_Missouri"
"Dale Long","List_of_people_from_Missouri"
"Jerry Lumpe","List_of_people_from_Missouri"
"Shaun Marcum","List_of_people_from_Missouri"
"Jay Marshall","List_of_people_from_Missouri"
"Bake McBride","List_of_people_from_Missouri"
"Bob Miller","List_of_people_from_Missouri"
"Zach Miner","List_of_people_from_Missouri"
"Logan Morrison","List_of_people_from_Missouri"
"Carl Morton","List_of_people_from_Missouri"
"Bill Mueller","List_of_people_from_Missouri"
"Don Mueller","List_of_people_from_Missouri"
"Stan Musial","List_of_people_from_Missouri"
"Dave Nicholson","List_of_people_from_Missouri"
"Al Nipper","List_of_people_from_Missouri"
"Darren Oliver","List_of_people_from_Missouri"
"Mickey O'Neil","List_of_people_from_Missouri"
"Mickey Owen","List_of_people_from_Missouri"
"Josh Outman","List_of_people_from_Missouri"
"Barney Pelty","List_of_people_from_Missouri"
"David Phelps","List_of_people_from_Missouri"
"Albert Pujols","List_of_people_from_Missouri"
"Pete Reiser","List_of_people_from_Missouri"
"Steve Rogers","List_of_people_from_Missouri"
"Trevor Rosenthal","List_of_people_from_Missouri"
"Bob Scheffing","List_of_people_from_Missouri"
"Max Scherzer","List_of_people_from_Missouri"
"Art Shamsky","List_of_people_from_Missouri"
"Mike Shannon","List_of_people_from_Missouri"
"Sonny Siebert","List_of_people_from_Missouri"
"Dave Silvestri","List_of_people_from_Missouri"
"Shae Simmons","List_of_people_from_Missouri"
"Roy Smalley, Jr.","List_of_people_from_Missouri"
"Al Smith","List_of_people_from_Missouri"
"Paul Splittorff","List_of_people_from_Missouri"
"Casey Stengel","List_of_people_from_Missouri"
"Mel Stottlemyre","List_of_people_from_Missouri"
"Rick Sutcliffe","List_of_people_from_Missouri"
"Nick Tepesch","List_of_people_from_Missouri"
"Jacob Turner","List_of_people_from_Missouri"
"Scott Van Slyke","List_of_people_from_Missouri"
"Luke Voit","List_of_people_from_Missouri"
"Earl Weaver","List_of_people_from_Missouri"
"Mack Wheat","List_of_people_from_Missouri"
"Zack Wheat","List_of_people_from_Missouri"
"Dick Williams","List_of_people_from_Missouri"
"Lefty Williams","List_of_people_from_Missouri"
"Smoky Joe Wood","List_of_people_from_Missouri"
"Glenn Wright","List_of_people_from_Missouri"
"Forrest Clare "Phog" Allen","List_of_people_from_Missouri"
"Bill Bradley","List_of_people_from_Missouri"
"Alec Burks","List_of_people_from_Missouri"
"Chris Carr","List_of_people_from_Missouri"
"Ben Hansbrough","List_of_people_from_Missouri"
"Josh Harrellson","List_of_people_from_Missouri"
"Larry Hughes","List_of_people_from_Missouri"
"David Lee","List_of_people_from_Missouri"
"Tyronn Lue","List_of_people_from_Missouri"
"Brandon Rush","List_of_people_from_Missouri"
"Kareem Rush","List_of_people_from_Missouri"
"Scott Sims","List_of_people_from_Missouri"
"Norm Stewart","List_of_people_from_Missouri"
"Jayson Tatum","List_of_people_from_Missouri"
"Anthony Tolliver","List_of_people_from_Missouri"
"Alex Tyus","List_of_people_from_Missouri"
"Maurice Alexander","List_of_people_from_Missouri"
"Allen Barbre","List_of_people_from_Missouri"
"Tim Barnes","List_of_people_from_Missouri"
"David Bass","List_of_people_from_Missouri"
"Justin Britt","List_of_people_from_Missouri"
"Jason Brookins","List_of_people_from_Missouri"
"Colin Brown","List_of_people_from_Missouri"
"Jairus Byrd","List_of_people_from_Missouri"
"Paul Christman","List_of_people_from_Missouri"
"Adrian Clayborn","List_of_people_from_Missouri"
"Chase Coffman","List_of_people_from_Missouri"
"Jalen Collins","List_of_people_from_Missouri"
"Maliek Collins","List_of_people_from_Missouri"
"Dan Connolly","List_of_people_from_Missouri"
"Dan Dierdorf","List_of_people_from_Missouri"
"Herb Donaldson","List_of_people_from_Missouri"
"Robert Douglas","List_of_people_from_Missouri"
"Kony Ealy","List_of_people_from_Missouri"
"Ezekiel Elliott","List_of_people_from_Missouri"
